p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
0	2.70278253940318	0.573	0.054	0	0	Nrgn
0	2.49939546132453	0.972	0.58	0	0	Emb
0	2.30139728348325	0.425	0.059	0	0	Il17a
0	2.26357033746995	0.904	0.463	0	0	St6galnac3
0	2.1302667922599	0.859	0.169	0	0	Nr4a3
0	2.12470182301413	0.764	0.12	0	0	Igfbp7
0	2.02339748904887	0.828	0.369	0	0	Il18r1
0	2.0149733102012	0.913	0.196	0	0	Bhlhe40
0	1.95212109805878	0.909	0.322	0	0	Trps1
0	1.94915033137182	0.727	0.245	0	0	Furin
0	1.87738352066621	0.729	0.148	0	0	Tnfsf11
0	1.86930279017896	0.755	0.163	0	0	Nr4a2
0	1.74834717774878	0.975	0.551	0	0	Ptpn22
0	1.71201894078475	0.525	0.112	0	0	Lgals7
0	1.70458999393685	0.875	0.263	0	0	Rgs2
0	1.70204739727977	0.924	0.417	0	0	Rbpj
0	1.69688590727887	0.969	0.73	0	0	Cblb
0	1.65627981186232	0.666	0.199	0	0	Ece1
0	1.64525057176669	0.811	0.292	0	0	Ramp1
0	1.52445798387793	0.993	0.791	0	0	Junb
0	1.46911295723311	0.981	0.815	0	0	Nfkb1
0	1.43221954604361	0.902	0.308	0	0	Pde4d
0	1.42273827214434	0.728	0.14	0	0	Bcl2a1d
0	1.42015669873905	0.839	0.335	0	0	Crem
0	1.40259409011375	0.84	0.459	0	0	Raf1
0	1.40195529903863	0.968	0.684	0	0	Gdi2
0	1.3939640562879	0.994	0.926	0	0	Rabgap1l
0	1.38878631761475	0.696	0.208	0	0	Tbc1d4
0	1.38719465870876	0.69	0.2	0	0	Ell2
0	1.3843776130485	0.791	0.297	0	0	Slc22a15
0	1.33172570189703	0.9	0.649	0	0	Arhgap31
0	1.29954652432945	0.97	0.668	0	0	Itk
0	1.29886298085976	0.944	0.54	0	0	Kdm2b
0	1.2946527421113	0.558	0.09	0	0	Pde3b
0	1.28319709593257	0.858	0.396	0	0	Maml2
0	1.26973271697746	0.716	0.192	0	0	Ctsw
0	1.2566526185398	0.679	0.217	0	0	Farp1
0	1.2494660290065	0.561	0.221	0	0	Mpp7
0	1.24784019492604	0.73	0.189	0	0	Litaf
0	1.24775113798592	0.726	0.143	0	0	Fosl2
0	1.23962344101758	0.693	0.21	0	0	Neurl3
0	1.23524192411568	0.91	0.545	0	0	Ostf1
0	1.19507060676275	0.883	0.651	0	0	Rora
0	1.17918069873513	0.885	0.585	0	0	Uhrf2
0	1.17653775610822	0.81	0.49	0	0	Rel
0	1.16419118460092	0.604	0.198	0	0	Tcf7
0	1.15779852666488	0.844	0.466	0	0	Med14
0	1.1542921648076	0.454	0.145	0	0	Cxcr6
0	1.1440185506456	0.615	0.191	0	0	Creb3l2
0	1.14241863704646	0.946	0.709	0	0	Hif1a
0	1.13892033294118	0.722	0.367	0	0	Stx11
0	1.11809591560764	0.816	0.384	0	0	Chd7
0	1.11156914976182	0.857	0.554	0	0	Stat4
0	1.11106420319906	0.596	0.17	0	0	Pdcd1
