p_val	avg_log2FC	pct.1	pct.2	p_val_adj
1.0623880828839e-221	-0.664670326208088	0	0.25	3.42991992559068e-217
1.0623880828839e-221	-0.499827405734013	0	0.25	3.42991992559068e-217
1.0623880828839e-221	-0.849435696428614	0	0.25	3.42991992559068e-217
1.0623880828839e-221	-0.849435696428614	0	0.25	3.42991992559068e-217
1.0623880828839e-221	-0.664670326208088	0	0.25	3.42991992559068e-217
1.0623880828839e-221	-0.664670326208088	0	0.25	3.42991992559068e-217
1.0623880828839e-221	-0.556958787210256	0	0.25	3.42991992559068e-217
1.0623880828839e-221	-0.271452202288426	0	0.25	3.42991992559068e-217
1.0623880828839e-221	-0.849435696428614	0	0.25	3.42991992559068e-217
9.97323570682978e-112	-0.271239066038299	0	0.25	3.21985914794999e-107
9.97323570682978e-112	-0.271191931249349	0	0.25	3.21985914794999e-107
9.97323570682978e-112	-0.849328037594344	0	0.25	3.21985914794999e-107
9.97323570682978e-112	-1.46186672615216	0	0.25	3.21985914794999e-107
9.97323570682978e-112	-0.664332243159732	0	0.25	3.21985914794999e-107
9.97323570682978e-112	-0.271328947534851	0	0.25	3.21985914794999e-107
9.97323570682978e-112	-1.16450729050182	0	0.25	3.21985914794999e-107
1.28090373109968e-111	-0.270302757776909	0	0.25	4.13539769585532e-107
4.94413175526356e-75	-0.55647290179112	0	0.25	1.59621293718684e-70
4.94413175526356e-75	-0.556535879932776	0	0.25	1.59621293718684e-70
4.94413175526356e-75	-0.664105422930686	0	0.25	1.59621293718684e-70
4.94413175526356e-75	-0.849006306028664	0	0.25	1.59621293718684e-70
4.94413175526356e-75	-0.664236229937781	0	0.25	1.59621293718684e-70
5.84223388191606e-75	-0.662231258146473	0	0.25	1.8861652087766e-70
5.84223388191606e-75	-0.662402114997191	0	0.25	1.8861652087766e-70
6.90290860578483e-75	-0.2705883366551	0	0.25	2.22860404337763e-70
1.14831552093475e-56	-1.37937908756481	0.001	0.25	3.70733665933784e-52
1.14831552093475e-56	-0.663859046351469	0.001	0.25	3.70733665933784e-52
1.14831552093475e-56	-0.848408284356887	0.001	0.25	3.70733665933784e-52
1.67170619390035e-56	-0.270426288616151	0.001	0.25	5.39710344700727e-52
1.23178860764084e-45	-0.848539107338623	0.001	0.25	3.97682951976844e-41
1.23178860764084e-45	-0.847994588026606	0.001	0.25	3.97682951976844e-41
1.23178860764084e-45	-0.663455834524096	0.001	0.25	3.97682951976844e-41
1.23178860764084e-45	-0.498556833274002	0.001	0.25	3.97682951976844e-41
1.23178860764084e-45	-2.64547145629931	0.001	0.25	3.97682951976844e-41
2.8275245363205e-38	-0.956433828277744	0.001	0.25	9.12866296551073e-34
2.8275245363205e-38	-0.847571568150772	0.001	0.25	9.12866296551073e-34
2.8275245363205e-38	-1.46085471718621	0.001	0.25	9.12866296551073e-34
3.07399542822495e-38	-0.661821316219113	0.001	0.25	9.92439424002424e-34
3.15253885260659e-34	-1.56328423727302	0.006	0.5	1.01779716856404e-29
5.17974289172471e-33	-0.55524519059841	0.001	0.25	1.67227999259332e-28
5.17974289172471e-33	-0.555124537155202	0.001	0.25	1.67227999259332e-28
4.62728290799449e-29	-0.663046828441298	0.002	0.25	1.49391828684602e-24
4.92690884068667e-29	-0.269996188719594	0.002	0.25	1.59065251921569e-24
4.92690884068667e-29	-0.661456743756043	0.002	0.25	1.59065251921569e-24
5.24577492916119e-29	-0.268855787279721	0.002	0.25	1.69359843587969e-24
5.94620479012408e-29	-0.269198357469698	0.002	0.25	1.91973221649156e-24
5.94620479012408e-29	-0.269376638382526	0.002	0.25	1.91973221649156e-24
5.94620479012408e-29	-0.269282975699595	0.002	0.25	1.91973221649156e-24
5.51213936401661e-26	-2.50076086706891	0.002	0.25	1.77959419367276e-21
5.51213936401661e-26	-0.847044727326947	0.002	0.25	1.77959419367276e-21
1.60137975314038e-23	-0.661210342080228	0.002	0.25	5.17005453301373e-19
1.60137975314038e-23	-1.45662275477565	0.002	0.25	5.17005453301373e-19
1.68388945565321e-23	-0.661116441680609	0.002	0.25	5.43643710757637e-19
1.68388945565321e-23	-0.846107650026787	0.002	0.25	5.43643710757637e-19
2.1639630520439e-23	-0.267885303677564	0.002	0.25	6.98635471352375e-19
2.1639630520439e-23	-0.267473393139421	0.002	0.25	6.98635471352375e-19
2.2751241650092e-23	-0.264823028730354	0.002	0.25	7.34523836673221e-19
1.63171926340721e-22	-1.17041869405536	0.01	0.5	5.26800564191018e-18
1.66632966521501e-21	-1.45842024440748	0.002	0.25	5.37974532414666e-17
