p_val	avg_log2FC	pct.1	pct.2	p_val_adj
Aff3	0	-2.88309515060009	0.143	0.91	0
Ctla4	0	3.84824230785078	0.997	0.29	0
Icos	0	2.87905910548659	0.971	0.213	0
Tmem163	0	2.69591173662122	0.781	0.021	0
Atp2b4	0	2.06993755994484	0.877	0.03	0
Fam129a	0	2.40243129834629	0.892	0.045	0
Lamc1	0	2.22431288285757	0.839	0.028	0
Rabgap1l	0	2.46334594110852	0.997	0.662	0
Camk1d	0	-1.58964521507691	0.897	0.982	0
Prkcq	0	-2.03009250819195	0.696	0.957	0
Vim	0	2.53613041287277	0.965	0.343	0
Rpl12	0	-1.3719006885229	0.997	1	0
Arhgap15	0	-1.93383069569248	0.984	0.999	0
Neb	0	2.00259548236362	0.81	0.072	0
Itgav	0	2.75733921364907	0.915	0.191	0
Ptprj	0	2.24419563676149	0.827	0.048	0
S100a13	0	1.62681004653837	0.937	0.294	0
S100a4	0	4.82439027165979	0.988	0.023	0
S100a6	0	4.06459750886678	0.913	0.024	0
S100a11	0	2.78517363384592	0.978	0.188	0
S100a10	0	3.0018600306161	0.997	0.545	0
Lef1	0	-3.16055263158021	0.378	0.97	0
Rps20	0	-1.13450924339211	0.997	1	0
Bach2	0	-2.30495779966529	0.448	0.967	0
Tnfrsf1b	0	2.07524655989507	0.921	0.097	0
Tnfrsf9	0	2.09937324364263	0.782	0.073	0
Tnfrsf4	0	2.33580260506413	0.883	0.126	0
Rbpj	0	2.16262668659215	0.901	0.216	0
Rpl5	0	-1.06831863172749	0.997	0.999	0
Kdm2b	0	2.13382391726222	0.931	0.249	0
Rilpl2	0	1.62801146772596	0.782	0.065	0
Hip1	0	2.44606766485125	0.845	0.024	0
Cdk8	0	-1.78043230461821	0.755	0.95	0
Osbpl3	0	1.84275339622838	0.799	0.033	0
Capg	0	2.65516254013456	0.973	0.128	0
Foxp1	0	-2.69068554452801	0.632	0.989	0
Irak2	0	2.17211861185338	0.895	0.1	0
Lag3	0	2.97372332237885	0.933	0.028	0
Ptms	0	2.29296662759492	0.928	0.16	0
Rps19	0	-1.13635730904426	0.996	1	0
Fxyd5	0	1.55973358949475	0.994	0.807	0
Nkg7	0	3.07453533591429	0.765	0.024	0
Rpl13a	0	-1.17806532415711	0.999	1	0
AU020206	0	1.92588941211184	0.934	0.286	0
Rps17	0	-1.36332315979942	0.966	0.997	0
Dusp4	0	1.40128840333879	0.712	0.04	0
Maf	0	3.50126906201014	0.976	0.051	0
Ubash3b	0	2.81461550448569	0.981	0.243	0
Anxa2	0	1.81302324035694	0.767	0.045	0
Nt5e	0	3.20559888248535	0.943	0.043	0
Cmtm7	0	2.1524656041201	0.931	0.186	0
Ccr2	0	2.64187923495676	0.769	0.008	0
Ifngr1	0	2.14954799862757	0.972	0.315	0
Scml4	0	-2.66148379397404	0.141	0.844	0
Srgn	0	2.61578874109047	0.995	0.572	0
Eea1	0	2.51372780166359	0.903	0.165	0
Tcf7	0	-2.84527000898221	0.051	0.893	0
Timp2	0	1.83127191829215	0.909	0.151	0
Actg1	0	1.85916884628323	0.998	0.865	0
Odc1	0	2.09647145063357	0.813	0.132	0
Crip1	0	2.29113083560959	0.969	0.454	0
Atxn1	0	2.21067482465511	0.957	0.229	0
Aopep	0	1.79852230271268	0.966	0.434	0
Glrx	0	2.08400240570968	0.867	0.046	0
Rps24	0	-0.810232826722596	1	1	0
Lgals3	0	2.5052118525312	0.702	0.026	0
Ltb4r1	0	1.83693804479104	0.722	0.013	0
Ctsb	0	1.89635358058716	0.898	0.148	0
Gm2682	0	-3.2194880410439	0.312	0.968	0
Sla	0	1.63453165399836	0.947	0.34	0
Il2rb	0	2.30492101461053	0.953	0.124	0
Lgals1	0	3.35245707133579	0.989	0.262	0
Prr13	0	1.48854619730659	0.827	0.124	0
Litaf	0	1.79688905267063	0.756	0.023	0
Arhgap31	0	2.20282919482727	0.939	0.305	0
Alcam	0	2.31106054260033	0.678	0.022	0
Cmss1	0	-1.9373444968737	0.984	0.998	0
Samsn1	0	1.87144550826742	0.877	0.2	0
D16Ertd472e	0	1.6145498484746	0.898	0.217	0
