p_val	avg_log2FC	pct.1	pct.2	p_val_adj
Neurl3	0	1.70518808411715	0.784	0.094	0
Il18r1	0	3.34035705577763	0.955	0.127	0
Ctla4	0	2.90437861028344	0.991	0.29	0
Icos	0	2.15375657256338	0.917	0.213	0
Pdcd1	0	1.82165931250838	0.722	0.023	0
Tmem163	0	2.26593109886701	0.777	0.021	0
Atp2b4	0	2.06097990836534	0.898	0.03	0
Rgs2	0	2.10422040866003	0.908	0.139	0
Rgs1	0	2.8211520139531	0.899	0.105	0
Fam129a	0	1.51882203191861	0.762	0.045	0
Lamc1	0	1.62704447380492	0.728	0.028	0
Rabgap1l	0	3.027063670126	1	0.662	0
Sell	0	-1.98341279765346	0.004	0.657	0
Prkcq	0	-2.05416399006613	0.738	0.957	0
Rpl12	0	-1.07512743559104	1	1	0
Arhgap15	0	-1.74699891061331	0.996	0.999	0
Nr4a2	0	2.06223245859742	0.721	0.028	0
Cd82	0	1.38224069186137	0.903	0.192	0
S100a4	0	3.64163601178044	0.965	0.023	0
S100a11	0	2.30286215977063	0.979	0.188	0
S100a10	0	2.09435793332698	0.997	0.545	0
Slc22a15	0	2.13124175258064	0.836	0.023	0
Ptpn22	0	1.75595756077643	0.986	0.577	0
Lef1	0	-2.46289857977739	0.656	0.97	0
Nfkb1	0	2.09497774225169	0.994	0.651	0
St6galnac3	0	3.44500590224809	0.958	0.193	0
Nr4a3	0	2.41196089822284	0.865	0.069	0
Tnfrsf1b	0	1.6977822368959	0.881	0.097	0
Fosl2	0	1.65486247466462	0.779	0.045	0
Rbpj	0	2.74496803915808	0.992	0.216	0
Igfbp7	0	2.83830918646116	0.902	0.026	0
Kdm2b	0	2.26355681924077	0.959	0.249	0
Cdk8	0	-1.71061125246544	0.804	0.95	0
Gimap6	0	-2.26141029195814	0.663	0.969	0
Osbpl3	0	1.76000575629687	0.783	0.033	0
Capg	0	2.13939007709241	0.921	0.128	0
Foxp1	0	-3.11286147247285	0.674	0.989	0
Bhlhe40	0	2.75651085262418	0.965	0.038	0
Lag3	0	1.5871908231702	0.768	0.028	0
Ptms	0	1.51204198302709	0.871	0.16	0
AU020206	0	1.79971060379058	0.948	0.286	0
Furin	0	3.134997543764	0.89	0.07	0
Junb	0	2.17306898474089	0.996	0.663	0
Maf	0	2.86649447956716	0.912	0.051	0
Ubash3b	0	2.22663755546285	0.972	0.243	0
Dennd4a	0	2.42341730460363	0.878	0.239	0
Rora	0	3.02180820801974	0.912	0.112	0
Nt5e	0	2.97481108029773	0.91	0.043	0
Bcl2a1d	0	2.00966577801352	0.841	0.024	0
Bcl2a1b	0	2.04515914489169	0.83	0.046	0
Mapkapk3	0	1.8447080310358	0.893	0.154	0
Cxcr6	0	2.28634446323229	0.796	0.033	0
Stx11	0	1.80432822984283	0.736	0.033	0
Ifngr1	0	1.90066298036734	0.959	0.315	0
Scml4	0	-2.75738318881982	0.085	0.844	0
Srgn	0	1.93856775324627	0.993	0.572	0
Oaz1	0	1.15247011282958	0.997	0.877	0
Dgka	0	-2.03760498324549	0.546	0.917	0
Tcf7	0	-2.04713130145247	0.367	0.893	0
Cpd	0	1.49567394687122	0.743	0.027	0
Hif1a	0	1.80106598606302	0.946	0.328	0
Gdi2	0	1.76035020175601	0.983	0.506	0
Ripor2	0	-1.97420815638851	0.724	0.965	0
Atxn1	0	2.62041021520696	0.977	0.229	0
Ell2	0	2.1941737932508	0.769	0.026	0
Emb	0	2.0630148798361	0.988	0.804	0
Gng2	0	1.5494351925738	0.947	0.242	0
Lgals3	0	2.22953221330393	0.806	0.026	0
Ctsb	0	1.36370779420352	0.869	0.148	0
Tnfsf11	0	2.19065926001828	0.758	0.052	0
Farp1	0	1.73061330771477	0.716	0.04	0
Trps1	0	2.20953175922671	0.912	0.186	0
Gm2682	0	-4.53153035786776	0.087	0.968	0
Sla	0	1.87872551457597	0.962	0.34	0
Dgat1	0	1.75208510782185	0.811	0.077	0
Il2rb	0	2.13549367819209	0.963	0.124	0
Lgals1	0	2.55039583472645	0.977	0.262	0
Prr13	0	1.67506011225107	0.919	0.124	0
Litaf	0	2.09177315263311	0.859	0.023	0
St6gal1	0	-2.30402153672374	0.024	0.738	0
Arhgap31	0	2.47407753348041	0.921	0.305	0
Cmss1	0	-2.06817081867042	0.989	0.998	0
D16Ertd472e	0	1.84079823508544	0.934	0.217	0
Myo1f	0	1.3120587604653	0.698	0.029	0
Gm42418	0	-2.05259064491653	1	1	0
AY036118	0	-2.45710956871787	0.979	0.997	0
Ccnd3	0	-2.17740302992893	0.818	0.985	0
Satb1	0	-2.39994174755063	0.537	0.973	0
Crem	0	2.2729156198502	0.878	0.136	0
Ndfip1	0	1.72615431396867	0.998	0.681	0
Ctsw	0	1.69630765715152	0.798	0.066	0
Ahnak	0	2.05343630158856	0.897	0.042	0
Ms4a4b	0	-3.14543789882619	0.134	0.947	0
Ostf1	0	1.57009196906036	0.958	0.372	0
Dusp5	0	1.84313434782807	0.876	0.115	0
Ablim1	0	-1.83579475244173	0.804	0.979	0
Gadd45b	9.54489478199533e-308	2.23254061973862	0.728	0.066	3.08156928036719e-303
Rab43	1.18124753246694e-306	1.48888951435091	0.869	0.169	3.81365765856952e-302
Tnfaip3	1.70244254602762e-306	1.71849625854303	0.941	0.313	5.49633575985018e-302
Uba52	1.60906813385127e-305	1.35589373643056	0.962	0.357	5.19487647013883e-301
Rpl13a	4.09356970803305e-304	-0.861871837416977	1	1	1.32160898023847e-299
Itgav	4.25929131980527e-304	2.10032520350642	0.86	0.191	1.37511220259913e-299
Irak2	2.5325867853771e-303	1.58937103822127	0.781	0.1	8.17645643658996e-299
Ramp1	4.92848766171585e-303	1.91669718695627	0.912	0.416	1.59116224158496e-298
Ptprc	7.58617662248385e-303	-1.25791767653436	0.979	0.994	2.44919712256891e-298
Il18rap	3.63924701724681e-301	1.45161374266622	0.64	0.009	1.17493089951813e-296
Lpxn	5.1824379478642e-301	1.5627042870037	0.811	0.128	1.67315009146796e-296
