p_val	avg_log2FC	pct.1	pct.2	p_val_adj
Raph1	0	1.37437399392628	0.79	0.039	0
Ctla4	0	2.82116607358374	0.991	0.29	0
Ptma	0	1.8748155798442	1	0.982	0
Tmem163	0	2.26871455320411	0.826	0.022	0
Atp2b4	0	1.76795213115972	0.891	0.03	0
Fam129a	0	1.48166380829056	0.773	0.046	0
Lamc1	0	1.62848235158219	0.783	0.029	0
Vim	0	2.64748842918421	0.984	0.344	0
Arhgap15	0	-2.24251165778327	0.982	0.999	0
Ptprj	0	1.60687802500637	0.794	0.051	0
Knl1	0	1.5106941016916	0.757	0.029	0
Nusap1	0	1.89161795852912	0.75	0.035	0
Dut	0	1.91491841360125	0.936	0.216	0
Tpx2	0	1.63517944155983	0.77	0.035	0
Cks1b	0	1.54628403943218	0.844	0.063	0
S100a4	0	3.74695137547699	0.91	0.022	0
S100a11	0	2.03791719896939	0.961	0.189	0
S100a10	0	2.73654190092656	0.997	0.545	0
Slc22a15	0	1.3040637739179	0.758	0.027	0
Lef1	0	-2.71986506965761	0.679	0.971	0
Cenpe	0	1.70452038091039	0.756	0.036	0
H2afz	0	2.55398081404348	0.998	0.627	0
Smc2	0	1.73298205234231	0.91	0.174	0
Txn1	0	1.718301319702	0.983	0.429	0
Cdca8	0	1.92976672532925	0.848	0.041	0
Stmn1	0	2.79627021895319	0.981	0.267	0
Rbpj	0	2.02659522990583	0.958	0.218	0
Igfbp7	0	2.19295019086552	0.791	0.03	0
Cit	0	1.192760569606	0.717	0.019	0
Rilpl2	0	1.34683484778643	0.824	0.066	0
Hip1	0	1.49093931446031	0.731	0.025	0
Cdk8	0	-2.03545318877338	0.827	0.95	0
Hmgb1	0	1.84689797851621	0.994	0.735	0
Osbpl3	0	1.79622965996419	0.886	0.036	0
Capg	0	2.1818900436119	0.953	0.131	0
Foxp1	0	-3.35065340639373	0.618	0.991	0
Bhlhe40	0	2.05092284441991	0.856	0.04	0
Lag3	0	1.88010122778112	0.852	0.028	0
Ptms	0	2.0120711547899	0.964	0.162	0
Gapdh	0	1.65902534153876	0.994	0.675	0
Ybx3	0	1.3606333043275	0.804	0.055	0
Lockd	0	1.46151414525449	0.842	0.065	0
Lig1	0	1.65289289057322	0.844	0.071	0
Prc1	0	1.77409493969891	0.749	0.035	0
Mki67	0	2.99593711961325	0.935	0.079	0
Dusp4	0	1.26489749591634	0.785	0.041	0
Hmgb2	0	3.30446537039015	0.996	0.523	0
Maf	0	2.54380963452604	0.898	0.052	0
Spc24	0	1.24369857982702	0.782	0.031	0
Ubash3b	0	2.00115834026669	0.962	0.245	0
Pclaf	0	2.5304102646102	0.921	0.077	0
Rora	0	2.15550126689666	0.882	0.115	0
Anxa2	0	1.84622712155915	0.857	0.046	0
Nt5e	0	2.24224684591998	0.899	0.046	0
Cmtm7	0	2.33223161446763	0.938	0.186	0
Stx11	0	1.72954721993303	0.849	0.036	0
Srgn	0	2.12195133087496	0.996	0.572	0
Cdk1	0	1.32938076977074	0.749	0.029	0
Tmem256	0	1.12230005345373	0.868	0.087	0
Cpd	0	1.18866959084492	0.744	0.029	0
Top2a	0	2.89296038387674	0.907	0.125	0
Birc5	0	2.1870704543931	0.836	0.055	0
