NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ADAMTS6	ADAM metallopeptidase with thrombospondin type 1 motif 6 [Source:HGNC Symbol;Acc:HGNC:222]	51	1.6850179433822632	0.040987957	Yes	
row_1	TIMP2	TIMP metallopeptidase inhibitor 2 [Source:HGNC Symbol;Acc:HGNC:11821]	83	1.37999427318573	0.079417594	Yes	
row_2	GRAMD1B	GRAM domain containing 1B [Source:HGNC Symbol;Acc:HGNC:29214]	84	1.3780827522277832	0.1317701	Yes	
row_3	NR4A1	nuclear receptor subfamily 4 group A member 1 [Source:HGNC Symbol;Acc:HGNC:7980]	146	1.0841071605682373	0.14541516	Yes	
row_4	ORAI1	ORAI calcium release-activated calcium modulator 1 [Source:HGNC Symbol;Acc:HGNC:25896]	170	0.9991976022720337	0.1729903	Yes	
row_5	HIVEP3	HIVEP zinc finger 3 [Source:HGNC Symbol;Acc:HGNC:13561]	209	0.8977200984954834	0.18993838	Yes	
row_6	CTSD	cathepsin D [Source:HGNC Symbol;Acc:HGNC:2529]	434	0.6001945734024048	0.11161073	No	
row_7	AFF1	ALF transcription elongation factor 1 [Source:HGNC Symbol;Acc:HGNC:7135]	537	0.5157798528671265	0.085155234	No	
row_8	CD5	CD5 molecule [Source:HGNC Symbol;Acc:HGNC:1685]	645	0.4581614136695862	0.054253504	No	
row_9	C19orf53	chromosome 19 open reading frame 53 [Source:HGNC Symbol;Acc:HGNC:24991]	653	0.45154500007629395	0.06824715	No	
row_10	CHD4	chromodomain helicase DNA binding protein 4 [Source:HGNC Symbol;Acc:HGNC:1919]	836	0.376467764377594	3.8188294E-4	No	
row_11	MTSS1	MTSS I-BAR domain containing 1 [Source:HGNC Symbol;Acc:HGNC:20443]	1004	0.32384786009788513	-0.062710375	No	
row_12	MAPK14	mitogen-activated protein kinase 14 [Source:HGNC Symbol;Acc:HGNC:6876]	1150	0.2852479815483093	-0.11733673	No	
row_13	NMNAT2	nicotinamide nucleotide adenylyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:16789]	1240	0.2637103199958801	-0.14749913	No	
row_14	ATF4	activating transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:786]	1309	0.25227418541908264	-0.16861516	No	
row_15	CHD7	chromodomain helicase DNA binding protein 7 [Source:HGNC Symbol;Acc:HGNC:20626]	1321	0.2500889301300049	-0.16408058	No	
row_16	FAM120B	family with sequence similarity 120B [Source:HGNC Symbol;Acc:HGNC:21109]	1356	-0.2599557638168335	-0.1695549	No	
row_17	DCAF1	DDB1 and CUL4 associated factor 1 [Source:HGNC Symbol;Acc:HGNC:30911]	1358	-0.26018592715263367	-0.16012207	No	
