NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TIMP2	TIMP metallopeptidase inhibitor 2 [Source:HGNC Symbol;Acc:HGNC:11821]	83	1.37999427318573	-0.0028659229	No	
row_1	SGMS1	sphingomyelin synthase 1 [Source:HGNC Symbol;Acc:HGNC:29799]	538	0.5144569873809814	-0.19579732	No	
row_2	CPM	carboxypeptidase M [Source:HGNC Symbol;Acc:HGNC:2311]	561	0.49839088320732117	-0.19321522	No	
row_3	SLC39A14	solute carrier family 39 member 14 [Source:HGNC Symbol;Acc:HGNC:20858]	971	0.3328815996646881	-0.37031415	No	
row_4	PTPN6	protein tyrosine phosphatase non-receptor type 6 [Source:HGNC Symbol;Acc:HGNC:9658]	1163	0.28236421942710876	-0.4498199	No	
row_5	CHD7	chromodomain helicase DNA binding protein 7 [Source:HGNC Symbol;Acc:HGNC:20626]	1321	0.2500889301300049	-0.5147195	No	
row_6	SPTBN1	spectrin beta, non-erythrocytic 1 [Source:HGNC Symbol;Acc:HGNC:11275]	1379	-0.2653026282787323	-0.5338842	No	
row_7	TAPT1	transmembrane anterior posterior transformation 1 [Source:HGNC Symbol;Acc:HGNC:26887]	1411	-0.2739611864089966	-0.54103935	No	
row_8	GRK6	G protein-coupled receptor kinase 6 [Source:HGNC Symbol;Acc:HGNC:4545]	1420	-0.2756815254688263	-0.5377203	No	
row_9	VAMP1	vesicle associated membrane protein 1 [Source:HGNC Symbol;Acc:HGNC:12642]	1424	-0.27729105949401855	-0.5320931	No	
row_10	USP40	ubiquitin specific peptidase 40 [Source:HGNC Symbol;Acc:HGNC:20069]	1448	-0.2843237519264221	-0.535359	No	
row_11	SLC38A9	solute carrier family 38 member 9 [Source:HGNC Symbol;Acc:HGNC:26907]	1526	-0.3038874566555023	-0.5626217	No	
row_12	NFE2L2	NFE2 like bZIP transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:7782]	1528	-0.30508166551589966	-0.55538714	No	
row_13	GUCD1	guanylyl cyclase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:14237]	1547	-0.31102874875068665	-0.5557125	No	
row_14	UBE2D1	ubiquitin conjugating enzyme E2 D1 [Source:HGNC Symbol;Acc:HGNC:12474]	1553	-0.31436243653297424	-0.5500582	No	
row_15	C1orf21	chromosome 1 open reading frame 21 [Source:HGNC Symbol;Acc:HGNC:15494]	1602	-0.33122193813323975	-0.5634801	No	
row_16	RNF167	ring finger protein 167 [Source:HGNC Symbol;Acc:HGNC:24544]	1654	-0.35634082555770874	-0.57762957	No	
row_17	PYM1	PYM homolog 1, exon junction complex associated factor [Source:HGNC Symbol;Acc:HGNC:30258]	1695	-0.3749551475048065	-0.5863213	No	
row_18	RPH3AL	rabphilin 3A like (without C2 domains) [Source:HGNC Symbol;Acc:HGNC:10296]	1711	-0.38150301575660706	-0.58351016	No	
row_19	VIPR1	vasoactive intestinal peptide receptor 1 [Source:HGNC Symbol;Acc:HGNC:12694]	1785	-0.4156741797924042	-0.60614175	No	
row_20	SLC16A5	solute carrier family 16 member 5 [Source:HGNC Symbol;Acc:HGNC:10926]	1818	-0.4358901381492615	-0.6096698	Yes	
