NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	S100A4	S100 calcium binding protein A4 [Source:HGNC Symbol;Acc:HGNC:10494]	2	2.7487287521362305	0.028230304	Yes	
row_1	MAF	MAF bZIP transcription factor [Source:HGNC Symbol;Acc:HGNC:6776]	7	2.5619735717773438	0.053558294	Yes	
row_2	NR4A2	nuclear receptor subfamily 4 group A member 2 [Source:HGNC Symbol;Acc:HGNC:7981]	8	2.541466474533081	0.080512114	Yes	
row_3	CTLA4	cytotoxic T-lymphocyte associated protein 4 [Source:HGNC Symbol;Acc:HGNC:2505]	10	2.5144782066345215	0.106718875	Yes	
row_4	BHLHE40	basic helix-loop-helix family member e40 [Source:HGNC Symbol;Acc:HGNC:1046]	11	2.462287187576294	0.13283294	Yes	
row_5	IL18R1	interleukin 18 receptor 1 [Source:HGNC Symbol;Acc:HGNC:5988]	14	2.4109270572662354	0.15748066	Yes	
row_6	TNFSF11	TNF superfamily member 11 [Source:HGNC Symbol;Acc:HGNC:11926]	20	2.1598060131073	0.17808259	Yes	
row_7	DENND4A	DENN domain containing 4A [Source:HGNC Symbol;Acc:HGNC:24321]	24	2.0862343311309814	0.1988259	Yes	
row_8	ATXN1	ataxin 1 [Source:HGNC Symbol;Acc:HGNC:10548]	26	2.0190110206604004	0.21977793	Yes	
row_9	LGALS3	galectin 3 [Source:HGNC Symbol;Acc:HGNC:6563]	32	1.8921093940734863	0.23754077	Yes	
row_10	S100A10	S100 calcium binding protein A10 [Source:HGNC Symbol;Acc:HGNC:10487]	37	1.7975667715072632	0.25476176	Yes	
row_11	GADD45B	growth arrest and DNA damage inducible beta [Source:HGNC Symbol;Acc:HGNC:4096]	39	1.7743109464645386	0.2731186	Yes	
row_12	CREB3L2	cAMP responsive element binding protein 3 like 2 [Source:HGNC Symbol;Acc:HGNC:23720]	45	1.7040948867797852	0.2888874	Yes	
row_13	CCR6	C-C motif chemokine receptor 6 [Source:HGNC Symbol;Acc:HGNC:1607]	46	1.6999322175979614	0.30691624	Yes	
row_14	SRGN	serglycin [Source:HGNC Symbol;Acc:HGNC:9361]	47	1.6977617740631104	0.32492206	Yes	
row_15	OSBPL3	oxysterol binding protein like 3 [Source:HGNC Symbol;Acc:HGNC:16370]	54	1.6576099395751953	0.33973703	Yes	
row_16	ICOS	inducible T cell costimulator [Source:HGNC Symbol;Acc:HGNC:5351]	55	1.6570329666137695	0.3573109	Yes	
row_17	CHST11	carbohydrate sulfotransferase 11 [Source:HGNC Symbol;Acc:HGNC:17422]	63	1.5228043794631958	0.37023538	Yes	
row_18	BCL2A1	BCL2 related protein A1 [Source:HGNC Symbol;Acc:HGNC:991]	64	1.5021138191223145	0.38616621	Yes	
row_19	ODC1	ornithine decarboxylase 1 [Source:HGNC Symbol;Acc:HGNC:8109]	66	1.490295171737671	0.4015109	Yes	
row_20	RGS1	regulator of G protein signaling 1 [Source:HGNC Symbol;Acc:HGNC:9991]	68	1.4851312637329102	0.4168008	Yes	
row_21	PRR13	proline rich 13 [Source:HGNC Symbol;Acc:HGNC:24528]	75	1.4220967292785645	0.429118	Yes	
row_22	FOSL2	FOS like 2, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:3798]	76	1.4149655103683472	0.4441246	Yes	
row_23	NKG7	natural killer cell granule protein 7 [Source:HGNC Symbol;Acc:HGNC:7830]	88	1.359922170639038	0.45347828	Yes	
row_24	TNFRSF1B	TNF receptor superfamily member 1B [Source:HGNC Symbol;Acc:HGNC:11917]	97	1.2962040901184082	0.4635387	Yes	
row_25	MDFIC	MyoD family inhibitor domain containing [Source:HGNC Symbol;Acc:HGNC:28870]	101	1.2762974500656128	0.47569212	Yes	
row_26	DUSP1	dual specificity phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:3064]	103	1.2680857181549072	0.48868012	Yes	
row_27	GEM	GTP binding protein overexpressed in skeletal muscle [Source:HGNC Symbol;Acc:HGNC:4234]	108	1.242380976676941	0.50001305	Yes	
