NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
SAFFORD_T_LYMPHOCYTE_ANERGY	89	34		
GSE20366_TREG_VS_NAIVE_CD4_TCELL_HOMEOSTATIC_CONVERSION_UP	200	57		
GSE20366_TREG_VS_NAIVE_CD4_TCELL_DEC205_CONVERSION_UP	199	59		
GSE7852_TREG_VS_TCONV_THYMUS_UP	200	92		
GSE7852_TREG_VS_TCONV_THYMUS_DN	199	57		
GSE7852_TREG_VS_TCONV_UP	200	85		
GSE22045_TREG_VS_TCONV_UP	189	28		
GSE22045_TREG_VS_TCONV_DN	192	28		
GSE13306_TREG_VS_TCONV_UP	198	32		
GSE13306_TREG_RA_VS_TCONV_RA_DN	200	22		
GSE13306_TREG_RA_VS_TCONV_RA_UP	200	30		
GSE14308_NAIVE_CD4_TCELL_VS_NATURAL_TREG_UP	199	39		
GSE14308_NAIVE_CD4_TCELL_VS_NATURAL_TREG_DN	200	44		
GSE14308_NAIVE_CD4_TCELL_VS_INDUCED_TREG_UP	199	37		
GSE14308_NAIVE_CD4_TCELL_VS_INDUCED_TREG_DN	200	39		
GSE14308_TH17_VS_NAIVE_CD4_TCELL_UP	200	34		
GSE14308_TH17_VS_NAIVE_CD4_TCELL_DN	199	47		
