NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GSE7852_TREG_VS_TCONV_THYMUS_UP	GSE7852_TREG_VS_TCONV_THYMUS_UP	Details ...	92	0.699894	3.3549163	0.0	0.0	0.0	463	tags=72%, list=20%, signal=87%	
GSE7852_TREG_VS_TCONV_UP	GSE7852_TREG_VS_TCONV_UP	Details ...	85	0.56297415	2.636661	0.0	0.0	0.0	424	tags=51%, list=19%, signal=60%	
SAFFORD_T_LYMPHOCYTE_ANERGY	SAFFORD_T_LYMPHOCYTE_ANERGY	Details ...	34	0.60789555	2.4052985	0.0	0.0	0.0	439	tags=65%, list=19%, signal=79%	
GSE20366_TREG_VS_NAIVE_CD4_TCELL_HOMEOSTATIC_CONVERSION_UP	GSE20366_TREG_VS_NAIVE_CD4_TCELL_HOMEOSTATIC_CONVERSION_UP	Details ...	57	0.4609399	1.9996214	0.0	0.00424605	0.017	355	tags=44%, list=16%, signal=51%	
GSE20366_TREG_VS_NAIVE_CD4_TCELL_DEC205_CONVERSION_UP	GSE20366_TREG_VS_NAIVE_CD4_TCELL_DEC205_CONVERSION_UP	Details ...	59	0.42205128	1.8567712	0.0038659794	0.009738257	0.048	382	tags=46%, list=17%, signal=54%	
GSE14308_NAIVE_CD4_TCELL_VS_INDUCED_TREG_DN	GSE14308_NAIVE_CD4_TCELL_VS_INDUCED_TREG_DN	Details ...	39	0.44099894	1.7918204	0.00947226	0.012971554	0.074	787	tags=59%, list=35%, signal=89%	
GSE22045_TREG_VS_TCONV_UP	GSE22045_TREG_VS_TCONV_UP	Details ...	28	0.434656	1.6001958	0.029829545	0.04720328	0.274	380	tags=36%, list=17%, signal=42%	
GSE14308_NAIVE_CD4_TCELL_VS_NATURAL_TREG_DN	GSE14308_NAIVE_CD4_TCELL_VS_NATURAL_TREG_DN	Details ...	44	0.3319322	1.375671	0.101583116	0.15883178	0.71	593	tags=41%, list=26%, signal=54%	
GSE13306_TREG_VS_TCONV_UP	GSE13306_TREG_VS_TCONV_UP	Details ...	32	0.33865687	1.2935266	0.16332377	0.22216858	0.864	154	tags=22%, list=7%, signal=23%	
GSE22045_TREG_VS_TCONV_DN	GSE22045_TREG_VS_TCONV_DN	Details ...	28	0.32733944	1.2178782	0.24035609	0.27819386	0.949	254	tags=29%, list=11%, signal=32%	
GSE14308_TH17_VS_NAIVE_CD4_TCELL_UP	GSE14308_TH17_VS_NAIVE_CD4_TCELL_UP	Details ...	34	0.31002057	1.1850691	0.26123595	0.2903894	0.97	746	tags=50%, list=33%, signal=73%	
GSE13306_TREG_RA_VS_TCONV_RA_UP	GSE13306_TREG_RA_VS_TCONV_RA_UP	Details ...	30	0.28373548	1.075213	0.38048092	0.4015381	0.997	307	tags=23%, list=14%, signal=27%	
GSE13306_TREG_RA_VS_TCONV_RA_DN	GSE13306_TREG_RA_VS_TCONV_RA_DN	Details ...	22	0.21163706	0.7290492	0.8012048	0.8288642	1.0	704	tags=36%, list=31%, signal=52%	
