NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
S100A4	1	S100a4	
IL17A	1	Il17a	
ST6GALNAC3	1	St6galnac3	
IL18R1	1	Il18r1	
FURIN	1	Furin	
RABGAP1L	1	Rabgap1l	
RORA	1	Rora	
NT5E	1	Nt5e	
CTLA4	1	Ctla4	
MAF	1	Maf	
IGFBP7	1	Igfbp7	
RGS1	1	Rgs1	
BHLHE40	1	Bhlhe40	
RBPJ	1	Rbpj	
NRGN	1	Nrgn	
LGALS7	1	Lgals7	
ATXN1	1	Atxn1	
LGALS1	1	Lgals1	
ARHGAP31	1	Arhgap31	
DENND4A	1	Dennd4a	
NR4A3	1	Nr4a3	
S100A11	1	S100a11	
CXCR6	1	Cxcr6	
CREM	1	Crem	
TMEM163	1	Tmem163	
KDM2B	1	Kdm2b	
GADD45B	1	Gadd45b	
LGALS3	1	Lgals3	
UBASH3B	1	Ubash3b	
TRPS1	1	Trps1	
ELL2	1	Ell2	
TNFSF11	1	Tnfsf11	
JUNB	1	Junb	
ICOS	1	Icos	
CAPG	1	Capg	
IL2RB	1	Il2rb	
SLC22A15	1	Slc22a15	
PLAC8	1	Plac8	
RGS2	1	Rgs2	
ITGAV	1	Itgav	
NFKB1	1	Nfkb1	
S100A10	1	S100a10	
LITAF	1	Litaf	
EMB	1	Emb	
NR4A2	1	Nr4a2	
ATP2B4	1	Atp2b4	
AHNAK	1	Ahnak	
BCL2A1	2	Bcl2a1d:Bcl2a1b	
NKG7	1	Nkg7	
SRGN	1	Srgn	
RAMP1	1	Ramp1	
IFNGR1	1	Ifngr1	
SLA	1	Sla	
CCL5	1	Ccl5	
MAPKAPK3	1	Mapkapk3	
DUSP5	1	Dusp5	
C21orf91	1	D16Ertd472e	
PDCD1	1	Pdcd1	
MALT1	1	Malt1	
UHRF2	1	Uhrf2	
IFRD1	1	Ifrd1	
STX11	1	Stx11	
HIF1A	1	Hif1a	
SERPINB1	1	Serpinb1a	
MXI1	1	Mxi1	
GDI2	1	Gdi2	
OSBPL3	1	Osbpl3	
PTPN22	1	Ptpn22	
DGAT1	1	Dgat1	
FARP1	1	Farp1	
NDFIP1	1	Ndfip1	
TNFAIP3	1	Tnfaip3	
ECE1	1	Ece1	
NEURL3	1	Neurl3	
TNFRSF1B	1	Tnfrsf1b	
CTSW	1	Ctsw	
PRR13	1	Prr13	
IL7R	1	Il7r	
FOSL2	1	Fosl2	
IL1R1	1	Il1r1	
LAMC1	1	Lamc1	
ADAM12	1	Adam12	
HIP1	1	Hip1	
ODC1	1	Odc1	
GEM	1	Gem	
RAB8B	1	Rab8b	
IRAK2	1	Irak2	
LAG3	1	Lag3	
PTPRJ	1	Ptprj	
OSTF1	1	Ostf1	
LPXN	1	Lpxn	
VIM	1	Vim	
GNG2	1	Gng2	
TRGC1	3	Tcrg-C1:Tcrg-C2:Tcrg-C4	
NIBAN1	1	Fam129a	
CKB	1	Ckb	
PTMS	1	Ptms	
PHACTR2	1	Phactr2	
CPD	1	Cpd	
IFITM3	1	Ifitm3	
RAB43	1	Rab43	
NFKBIA	1	Nfkbia	
CBLB	1	Cblb	
TFF1	1	Tff1	
ABLIM3	1	Ablim3	
IL18RAP	1	Il18rap	
MYO1E	1	Myo1e	
ACTG1	1	Actg1	
TGFB1	1	Tgfb1	
CCN4	1	Ccn4	
TEX2	1	Tex2	
SAMSN1	1	Samsn1	
EEA1	1	Eea1	
UBL3	1	Ubl3	
LMNB1	1	Lmnb1	
RGS10	1	Rgs10	
