NAME	TITLE	SCORE	
S100A4	S100 calcium binding protein A4 [Source:HGNC Symbol;Acc:HGNC:10494]	3.641636	
IL17A	interleukin 17A [Source:HGNC Symbol;Acc:HGNC:5981]	3.62064	
ST6GALNAC3	ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:19343]	3.445006	
IL18R1	interleukin 18 receptor 1 [Source:HGNC Symbol;Acc:HGNC:5988]	3.340357	
FURIN	furin, paired basic amino acid cleaving enzyme [Source:HGNC Symbol;Acc:HGNC:8568]	3.1349976	
RABGAP1L	RAB GTPase activating protein 1 like [Source:HGNC Symbol;Acc:HGNC:24663]	3.0270636	
RORA	RAR related orphan receptor A [Source:HGNC Symbol;Acc:HGNC:10258]	3.0218081	
NT5E	5'-nucleotidase ecto [Source:HGNC Symbol;Acc:HGNC:8021]	2.974811	
CTLA4	cytotoxic T-lymphocyte associated protein 4 [Source:HGNC Symbol;Acc:HGNC:2505]	2.9043787	
MAF	MAF bZIP transcription factor [Source:HGNC Symbol;Acc:HGNC:6776]	2.8664944	
IGFBP7	insulin like growth factor binding protein 7 [Source:HGNC Symbol;Acc:HGNC:5476]	2.8383093	
RGS1	regulator of G protein signaling 1 [Source:HGNC Symbol;Acc:HGNC:9991]	2.821152	
BHLHE40	basic helix-loop-helix family member e40 [Source:HGNC Symbol;Acc:HGNC:1046]	2.7565107	
RBPJ	recombination signal binding protein for immunoglobulin kappa J region [Source:HGNC Symbol;Acc:HGNC:5724]	2.744968	
NRGN	neurogranin [Source:HGNC Symbol;Acc:HGNC:8000]	2.6459887	
LGALS7	galectin 7 [Source:HGNC Symbol;Acc:HGNC:6568]	2.631326	
ATXN1	ataxin 1 [Source:HGNC Symbol;Acc:HGNC:10548]	2.6204102	
LGALS1	galectin 1 [Source:HGNC Symbol;Acc:HGNC:6561]	2.5503957	
ARHGAP31	Rho GTPase activating protein 31 [Source:HGNC Symbol;Acc:HGNC:29216]	2.4740775	
DENND4A	DENN domain containing 4A [Source:HGNC Symbol;Acc:HGNC:24321]	2.4234173	
NR4A3	nuclear receptor subfamily 4 group A member 3 [Source:HGNC Symbol;Acc:HGNC:7982]	2.4119608	
S100A11	S100 calcium binding protein A11 [Source:HGNC Symbol;Acc:HGNC:10488]	2.3028622	
CXCR6	C-X-C motif chemokine receptor 6 [Source:HGNC Symbol;Acc:HGNC:16647]	2.2863445	
CREM	cAMP responsive element modulator [Source:HGNC Symbol;Acc:HGNC:2352]	2.2729156	
TMEM163	transmembrane protein 163 [Source:HGNC Symbol;Acc:HGNC:25380]	2.2659311	
KDM2B	lysine demethylase 2B [Source:HGNC Symbol;Acc:HGNC:13610]	2.2635567	
GADD45B	growth arrest and DNA damage inducible beta [Source:HGNC Symbol;Acc:HGNC:4096]	2.2325406	
LGALS3	galectin 3 [Source:HGNC Symbol;Acc:HGNC:6563]	2.2295322	
UBASH3B	ubiquitin associated and SH3 domain containing B [Source:HGNC Symbol;Acc:HGNC:29884]	2.2266376	
TRPS1	transcriptional repressor GATA binding 1 [Source:HGNC Symbol;Acc:HGNC:12340]	2.2095318	
ELL2	elongation factor for RNA polymerase II 2 [Source:HGNC Symbol;Acc:HGNC:17064]	2.1941738	
TNFSF11	TNF superfamily member 11 [Source:HGNC Symbol;Acc:HGNC:11926]	2.1906593	
JUNB	JunB proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:6205]	2.173069	
ICOS	inducible T cell costimulator [Source:HGNC Symbol;Acc:HGNC:5351]	2.1537566	
CAPG	capping actin protein, gelsolin like [Source:HGNC Symbol;Acc:HGNC:1474]	2.13939	
IL2RB	interleukin 2 receptor subunit beta [Source:HGNC Symbol;Acc:HGNC:6009]	2.1354938	
SLC22A15	solute carrier family 22 member 15 [Source:HGNC Symbol;Acc:HGNC:20301]	2.1312418	
PLAC8	placenta associated 8 [Source:HGNC Symbol;Acc:HGNC:19254]	2.1165946	
RGS2	regulator of G protein signaling 2 [Source:HGNC Symbol;Acc:HGNC:9998]	2.1042204	
ITGAV	integrin subunit alpha V [Source:HGNC Symbol;Acc:HGNC:6150]	2.100325	
NFKB1	nuclear factor kappa B subunit 1 [Source:HGNC Symbol;Acc:HGNC:7794]	2.0949779	
S100A10	S100 calcium binding protein A10 [Source:HGNC Symbol;Acc:HGNC:10487]	2.094358	
LITAF	lipopolysaccharide induced TNF factor [Source:HGNC Symbol;Acc:HGNC:16841]	2.0917733	
EMB	embigin [Source:HGNC Symbol;Acc:HGNC:30465]	2.063015	
NR4A2	nuclear receptor subfamily 4 group A member 2 [Source:HGNC Symbol;Acc:HGNC:7981]	2.0622325	
ATP2B4	ATPase plasma membrane Ca2+ transporting 4 [Source:HGNC Symbol;Acc:HGNC:817]	2.0609798	
AHNAK	AHNAK nucleoprotein [Source:HGNC Symbol;Acc:HGNC:347]	2.0534363	
BCL2A1	BCL2 related protein A1 [Source:HGNC Symbol;Acc:HGNC:991]	2.045159	
NKG7	natural killer cell granule protein 7 [Source:HGNC Symbol;Acc:HGNC:7830]	1.9415362	
SRGN	serglycin [Source:HGNC Symbol;Acc:HGNC:9361]	1.9385678	
RAMP1	receptor activity modifying protein 1 [Source:HGNC Symbol;Acc:HGNC:9843]	1.9166971	
IFNGR1	interferon gamma receptor 1 [Source:HGNC Symbol;Acc:HGNC:5439]	1.900663	
SLA	Src like adaptor [Source:HGNC Symbol;Acc:HGNC:10902]	1.8787255	
CCL5	C-C motif chemokine ligand 5 [Source:HGNC Symbol;Acc:HGNC:10632]	1.8560406	
MAPKAPK3	MAPK activated protein kinase 3 [Source:HGNC Symbol;Acc:HGNC:6888]	1.8447081	
DUSP5	dual specificity phosphatase 5 [Source:HGNC Symbol;Acc:HGNC:3071]	1.8431344	
C21orf91	chromosome 21 open reading frame 91 [Source:HGNC Symbol;Acc:HGNC:16459]	1.8407983	
PDCD1	programmed cell death 1 [Source:HGNC Symbol;Acc:HGNC:8760]	1.8216593	
MALT1	MALT1 paracaspase [Source:HGNC Symbol;Acc:HGNC:6819]	1.8198931	
UHRF2	ubiquitin like with PHD and ring finger domains 2 [Source:HGNC Symbol;Acc:HGNC:12557]	1.8135911	
IFRD1	interferon related developmental regulator 1 [Source:HGNC Symbol;Acc:HGNC:5456]	1.8067122	
STX11	syntaxin 11 [Source:HGNC Symbol;Acc:HGNC:11429]	1.8043282	
HIF1A	hypoxia inducible factor 1 subunit alpha [Source:HGNC Symbol;Acc:HGNC:4910]	1.801066	
SERPINB1	serpin family B member 1 [Source:HGNC Symbol;Acc:HGNC:3311]	1.7984669	
MXI1	MAX interactor 1, dimerization protein [Source:HGNC Symbol;Acc:HGNC:7534]	1.770825	
GDI2	GDP dissociation inhibitor 2 [Source:HGNC Symbol;Acc:HGNC:4227]	1.7603502	
OSBPL3	oxysterol binding protein like 3 [Source:HGNC Symbol;Acc:HGNC:16370]	1.7600057	
PTPN22	protein tyrosine phosphatase non-receptor type 22 [Source:HGNC Symbol;Acc:HGNC:9652]	1.7559576	
DGAT1	diacylglycerol O-acyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:2843]	1.7520851	
FARP1	FERM, ARH/RhoGEF and pleckstrin domain protein 1 [Source:HGNC Symbol;Acc:HGNC:3591]	1.7306134	
NDFIP1	Nedd4 family interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:17592]	1.7261543	
TNFAIP3	TNF alpha induced protein 3 [Source:HGNC Symbol;Acc:HGNC:11896]	1.7184962	
ECE1	endothelin converting enzyme 1 [Source:HGNC Symbol;Acc:HGNC:3146]	1.7137424	
NEURL3	neuralized E3 ubiquitin protein ligase 3 [Source:HGNC Symbol;Acc:HGNC:25162]	1.705188	
