NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HNRNPA3	heterogeneous nuclear ribonucleoprotein A3 [Source:HGNC Symbol;Acc:HGNC:24941]	277	0.9782493710517883	-0.054667685	No	
row_1	PTPN22	protein tyrosine phosphatase non-receptor type 22 [Source:HGNC Symbol;Acc:HGNC:9652]	313	0.933390736579895	-0.033547003	No	
row_2	ARL5A	ADP ribosylation factor like GTPase 5A [Source:HGNC Symbol;Acc:HGNC:696]	331	0.9073484539985657	-0.007575055	No	
row_3	SNX2	sorting nexin 2 [Source:HGNC Symbol;Acc:HGNC:11173]	603	0.6435641646385193	-0.071909264	No	
row_4	CASP8AP2	caspase 8 associated protein 2 [Source:HGNC Symbol;Acc:HGNC:1510]	704	0.5846129655838013	-0.08363383	No	
row_5	ARPC5	actin related protein 2/3 complex subunit 5 [Source:HGNC Symbol;Acc:HGNC:708]	778	0.5367715358734131	-0.08838532	No	
row_6	NAB1	NGFI-A binding protein 1 [Source:HGNC Symbol;Acc:HGNC:7626]	935	0.4742407500743866	-0.12182716	No	
row_7	ELOVL5	ELOVL fatty acid elongase 5 [Source:HGNC Symbol;Acc:HGNC:21308]	989	0.4549555480480194	-0.12301864	No	
row_8	CD48	CD48 molecule [Source:HGNC Symbol;Acc:HGNC:1683]	1150	0.402060329914093	-0.16023715	No	
row_9	RPL38	ribosomal protein L38 [Source:HGNC Symbol;Acc:HGNC:10349]	1157	0.40034088492393494	-0.14829816	No	
row_10	ZC3H15	zinc finger CCCH-type containing 15 [Source:HGNC Symbol;Acc:HGNC:29528]	1287	0.36352062225341797	-0.17694327	No	
row_11	TAX1BP1	Tax1 binding protein 1 [Source:HGNC Symbol;Acc:HGNC:11575]	1527	0.3049231469631195	-0.24277157	No	
row_12	KIZ	kizuna centrosomal protein [Source:HGNC Symbol;Acc:HGNC:15865]	1823	-0.2540697753429413	-0.32825705	No	
row_13	OSBPL8	oxysterol binding protein like 8 [Source:HGNC Symbol;Acc:HGNC:16396]	1830	-0.25578904151916504	-0.32132128	No	
row_14	ETS1	ETS proto-oncogene 1, transcription factor [Source:HGNC Symbol;Acc:HGNC:3488]	1903	-0.27106013894081116	-0.33494994	No	
row_15	DRAM2	DNA damage regulated autophagy modulator 2 [Source:HGNC Symbol;Acc:HGNC:28769]	1923	-0.2753870189189911	-0.33149052	No	
row_16	RAB10	RAB10, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9759]	1925	-0.2754572331905365	-0.32227603	No	
row_17	TP53INP1	tumor protein p53 inducible nuclear protein 1 [Source:HGNC Symbol;Acc:HGNC:18022]	1958	-0.285854697227478	-0.32260898	No	
row_18	PTPN12	protein tyrosine phosphatase non-receptor type 12 [Source:HGNC Symbol;Acc:HGNC:9645]	2037	-0.30328330397605896	-0.3370399	No	
row_19	GUCD1	guanylyl cyclase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:14237]	2134	-0.3319588899612427	-0.3562309	Yes	
row_20	WASHC2A	WASH complex subunit 2A [Source:HGNC Symbol;Acc:HGNC:23416]	2150	-0.3355533480644226	-0.34941065	Yes	
row_21	CHORDC1	cysteine and histidine rich domain containing 1 [Source:HGNC Symbol;Acc:HGNC:14525]	2200	-0.3482509255409241	-0.353017	Yes	
row_22	LGALS8	galectin 8 [Source:HGNC Symbol;Acc:HGNC:6569]	2210	-0.34982603788375854	-0.34378523	Yes	
row_23	TSPAN13	tetraspanin 13 [Source:HGNC Symbol;Acc:HGNC:21643]	2212	-0.3500809967517853	-0.33198786	Yes	
row_24	PDPK1	3-phosphoinositide dependent protein kinase 1 [Source:HGNC Symbol;Acc:HGNC:8816]	2270	-0.3721918761730194	-0.3373223	Yes	
