NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ALYREF	Aly/REF export factor [Source:HGNC Symbol;Acc:HGNC:19071]	263	1.005300521850586	-0.046695046	No	
row_1	CCL4	C-C motif chemokine ligand 4 [Source:HGNC Symbol;Acc:HGNC:10630]	409	0.8165541887283325	-0.06271326	No	
row_2	ID2	inhibitor of DNA binding 2 [Source:HGNC Symbol;Acc:HGNC:5361]	429	0.7964667677879333	-0.039246432	No	
row_3	UBALD2	UBA like domain containing 2 [Source:HGNC Symbol;Acc:HGNC:28438]	430	0.7956194877624512	-0.009744614	No	
row_4	MANF	mesencephalic astrocyte derived neurotrophic factor [Source:HGNC Symbol;Acc:HGNC:15461]	486	0.7375780344009399	4.434504E-5	No	
row_5	C19orf53	chromosome 19 open reading frame 53 [Source:HGNC Symbol;Acc:HGNC:24991]	604	0.6433364152908325	-0.0134568615	No	
row_6	IFI30	IFI30 lysosomal thiol reductase [Source:HGNC Symbol;Acc:HGNC:5398]	831	0.512844979763031	-0.06659877	No	
row_7	IL12RB2	interleukin 12 receptor subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:5972]	1065	0.423895925283432	-0.12527394	No	
row_8	LSM3	LSM3 homolog, U6 small nuclear RNA and mRNA degradation associated [Source:HGNC Symbol;Acc:HGNC:17874]	1127	0.407802015542984	-0.12962888	No	
row_9	SS18	SS18 subunit of BAF chromatin remodeling complex [Source:HGNC Symbol;Acc:HGNC:11340]	1258	0.3706725835800171	-0.15739125	No	
row_10	HNRNPA2B1	heterogeneous nuclear ribonucleoprotein A2/B1 [Source:HGNC Symbol;Acc:HGNC:5033]	1348	0.34608930349349976	-0.1729745	No	
row_11	UBE2J2	ubiquitin conjugating enzyme E2 J2 [Source:HGNC Symbol;Acc:HGNC:19268]	1357	0.3423279821872711	-0.16283515	No	
row_12	EED	embryonic ectoderm development [Source:HGNC Symbol;Acc:HGNC:3188]	1375	0.33816319704055786	-0.1557238	No	
row_13	PSMD4	proteasome 26S subunit ubiquitin receptor, non-ATPase 4 [Source:HGNC Symbol;Acc:HGNC:9561]	1496	0.31041377782821655	-0.18252774	No	
row_14	AGFG2	ArfGAP with FG repeats 2 [Source:HGNC Symbol;Acc:HGNC:5177]	1719	0.26509785652160645	-0.24357904	No	
row_15	BCLAF1	BCL2 associated transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:16863]	1813	-0.25071457028388977	-0.26397595	No	
row_16	UBXN4	UBX domain protein 4 [Source:HGNC Symbol;Acc:HGNC:14860]	1877	-0.2653140127658844	-0.27425298	No	
row_17	GPATCH4	G-patch domain containing 4 (gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:25982]	1902	-0.2709798812866211	-0.27186778	No	
row_18	PLCG1	phospholipase C gamma 1 [Source:HGNC Symbol;Acc:HGNC:9065]	1964	-0.2875705063343048	-0.28068095	No	
row_19	PTBP3	polypyrimidine tract binding protein 3 [Source:HGNC Symbol;Acc:HGNC:10253]	1980	-0.29095280170440674	-0.27468163	No	
row_20	ZNF329	zinc finger protein 329 [Source:HGNC Symbol;Acc:HGNC:14209]	2010	-0.2968434989452362	-0.2729338	No	
row_21	ITK	IL2 inducible T cell kinase [Source:HGNC Symbol;Acc:HGNC:6171]	2031	-0.3016464114189148	-0.2681344	No	
row_22	PPARGC1B	PPARG coactivator 1 beta [Source:HGNC Symbol;Acc:HGNC:30022]	2092	-0.3179456293582916	-0.27550194	No	
