NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TIMP2	TIMP metallopeptidase inhibitor 2 [Source:HGNC Symbol;Acc:HGNC:11821]	137	1.3403730392456055	5.573755E-4	No	
row_1	NR4A1	nuclear receptor subfamily 4 group A member 1 [Source:HGNC Symbol;Acc:HGNC:7980]	372	0.8574507832527161	-0.04587624	No	
row_2	CCL4	C-C motif chemokine ligand 4 [Source:HGNC Symbol;Acc:HGNC:10630]	409	0.8165541887283325	-0.030363958	No	
row_3	ADAMTS6	ADAM metallopeptidase with thrombospondin type 1 motif 6 [Source:HGNC Symbol;Acc:HGNC:222]	444	0.7865743637084961	-0.01520438	No	
row_4	C19orf53	chromosome 19 open reading frame 53 [Source:HGNC Symbol;Acc:HGNC:24991]	604	0.6433364152908325	-0.044746436	No	
row_5	RNASEH2C	ribonuclease H2 subunit C [Source:HGNC Symbol;Acc:HGNC:24116]	641	0.6199474334716797	-0.035740227	No	
row_6	CTSD	cathepsin D [Source:HGNC Symbol;Acc:HGNC:2529]	698	0.5864982604980469	-0.034234766	No	
row_7	ORAI1	ORAI calcium release-activated calcium modulator 1 [Source:HGNC Symbol;Acc:HGNC:25896]	712	0.5811857581138611	-0.019158307	No	
row_8	RNPS1	RNA binding protein with serine rich domain 1 [Source:HGNC Symbol;Acc:HGNC:10080]	791	0.531766414642334	-0.026497273	No	
row_9	DNAJB11	DnaJ heat shock protein family (Hsp40) member B11 [Source:HGNC Symbol;Acc:HGNC:14889]	1040	0.4322223663330078	-0.091478154	No	
row_10	ERI1	exoribonuclease 1 [Source:HGNC Symbol;Acc:HGNC:23994]	1041	0.4313102066516876	-0.07720533	No	
row_11	GRAMD1B	GRAM domain containing 1B [Source:HGNC Symbol;Acc:HGNC:29214]	1073	0.42122185230255127	-0.07317684	No	
row_12	POLE2	DNA polymerase epsilon 2, accessory subunit [Source:HGNC Symbol;Acc:HGNC:9178]	1440	0.3244359791278839	-0.17944835	No	
row_13	ATF4	activating transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:786]	1534	0.30210715532302856	-0.19918254	No	
row_14	CD5	CD5 molecule [Source:HGNC Symbol;Acc:HGNC:1685]	1646	0.28059062361717224	-0.22538324	No	
row_15	HIVEP3	HIVEP zinc finger 3 [Source:HGNC Symbol;Acc:HGNC:13561]	1713	0.2659626603126526	-0.23768179	No	
row_16	PKD1	polycystin 1, transient receptor potential channel interacting [Source:HGNC Symbol;Acc:HGNC:9008]	1821	-0.2533313035964966	-0.2635058	No	
row_17	SLC39A10	solute carrier family 39 member 10 [Source:HGNC Symbol;Acc:HGNC:20861]	1848	-0.2597385048866272	-0.26322258	No	
row_18	XPO6	exportin 6 [Source:HGNC Symbol;Acc:HGNC:19733]	1993	-0.29229164123535156	-0.29958594	No	
row_19	PTPN12	protein tyrosine phosphatase non-receptor type 12 [Source:HGNC Symbol;Acc:HGNC:9645]	2037	-0.30328330397605896	-0.30329657	Yes	
row_20	ZZEF1	zinc finger ZZ-type and EF-hand domain containing 1 [Source:HGNC Symbol;Acc:HGNC:29027]	2070	-0.31133270263671875	-0.30322418	Yes	
