NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GAPDH	glyceraldehyde-3-phosphate dehydrogenase [Source:HGNC Symbol;Acc:HGNC:4141]	81	1.6590253114700317	0.027597241	Yes	
row_1	RAD51B	RAD51 paralog B [Source:HGNC Symbol;Acc:HGNC:9822]	111	1.4470328092575073	0.06500451	Yes	
row_2	COX17	cytochrome c oxidase copper chaperone COX17 [Source:HGNC Symbol;Acc:HGNC:2264]	120	1.4114298820495605	0.10798724	Yes	
row_3	ADAM12	ADAM metallopeptidase domain 12 [Source:HGNC Symbol;Acc:HGNC:190]	200	1.1504583358764648	0.11981432	Yes	
row_4	KIF20B	kinesin family member 20B [Source:HGNC Symbol;Acc:HGNC:7212]	269	0.9938604831695557	0.13011052	Yes	
row_5	CCDC34	coiled-coil domain containing 34 [Source:HGNC Symbol;Acc:HGNC:25079]	366	0.8654041290283203	0.12729593	Yes	
row_6	NDC80	NDC80 kinetochore complex component [Source:HGNC Symbol;Acc:HGNC:16909]	376	0.8558807969093323	0.15203185	Yes	
row_7	MANF	mesencephalic astrocyte derived neurotrophic factor [Source:HGNC Symbol;Acc:HGNC:15461]	486	0.7375780344009399	0.14092986	Yes	
row_8	NDUFA13	NADH:ubiquinone oxidoreductase subunit A13 [Source:HGNC Symbol;Acc:HGNC:17194]	532	0.698204517364502	0.14905047	Yes	
row_9	HJURP	Holliday junction recognition protein [Source:HGNC Symbol;Acc:HGNC:25444]	544	0.6896350383758545	0.16778153	Yes	
row_10	ANLN	anillin, actin binding protein [Source:HGNC Symbol;Acc:HGNC:14082]	618	0.6305753588676453	0.16475414	Yes	
row_11	NDE1	nudE neurodevelopment protein 1 [Source:HGNC Symbol;Acc:HGNC:17619]	651	0.6120826601982117	0.17425841	Yes	
row_12	HSPA4L	heat shock protein family A (Hsp70) member 4 like [Source:HGNC Symbol;Acc:HGNC:17041]	654	0.6106690764427185	0.19332322	Yes	
row_13	SSRP1	structure specific recognition protein 1 [Source:HGNC Symbol;Acc:HGNC:11327]	684	0.595643937587738	0.20325767	Yes	
row_14	POLE	DNA polymerase epsilon, catalytic subunit [Source:HGNC Symbol;Acc:HGNC:9177]	693	0.5898264050483704	0.2197287	Yes	
row_15	NEDD8	NEDD8 ubiquitin like modifier [Source:HGNC Symbol;Acc:HGNC:7732]	725	0.5728130340576172	0.22828601	Yes	
