NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	H2AZ1	H2A.Z variant histone 1 [Source:HGNC Symbol;Acc:HGNC:4741]	11	2.553980827331543	0.030648837	Yes	
row_1	CRIP1	cysteine rich protein 1 [Source:HGNC Symbol;Acc:HGNC:2360]	13	2.542625904083252	0.064379744	Yes	
row_2	S100A6	S100 calcium binding protein A6 [Source:HGNC Symbol;Acc:HGNC:10496]	14	2.531407594680786	0.09828382	Yes	
row_3	LGALS7	galectin 7 [Source:HGNC Symbol;Acc:HGNC:6568]	28	2.138718843460083	0.12272407	Yes	
row_4	SRGN	serglycin [Source:HGNC Symbol;Acc:HGNC:9361]	29	2.1219513416290283	0.15114415	Yes	
row_5	IL2RB	interleukin 2 receptor subunit beta [Source:HGNC Symbol;Acc:HGNC:6009]	55	1.8609217405319214	0.16798277	Yes	
row_6	ATP2B4	ATPase plasma membrane Ca2+ transporting 4 [Source:HGNC Symbol;Acc:HGNC:817]	63	1.7679520845413208	0.1893977	Yes	
row_7	IL2RA	interleukin 2 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:6008]	67	1.7493267059326172	0.21185683	Yes	
row_8	HIF1A	hypoxia inducible factor 1 subunit alpha [Source:HGNC Symbol;Acc:HGNC:4910]	80	1.6610107421875	0.23022237	Yes	
row_9	TNFRSF9	TNF receptor superfamily member 9 [Source:HGNC Symbol;Acc:HGNC:11924]	88	1.6093993186950684	0.24951375	Yes	
row_10	TNFRSF4	TNF receptor superfamily member 4 [Source:HGNC Symbol;Acc:HGNC:11918]	97	1.5430952310562134	0.26759365	Yes	
row_11	NIBAN1	niban apoptosis regulator 1 [Source:HGNC Symbol;Acc:HGNC:16784]	104	1.4816638231277466	0.28549764	Yes	
row_12	REEP5	receptor accessory protein 5 [Source:HGNC Symbol;Acc:HGNC:30077]	112	1.4439398050308228	0.30257297	Yes	
row_13	HINT1	histidine triad nucleotide binding protein 1 [Source:HGNC Symbol;Acc:HGNC:4912]	134	1.353198766708374	0.31390512	Yes	
row_14	CLSPN	claspin [Source:HGNC Symbol;Acc:HGNC:19715]	139	1.3293949365615845	0.33041653	Yes	
row_15	IKZF2	IKAROS family zinc finger 2 [Source:HGNC Symbol;Acc:HGNC:13177]	151	1.286158561706543	0.34408498	Yes	
row_16	DUSP4	dual specificity phosphatase 4 [Source:HGNC Symbol;Acc:HGNC:3070]	156	1.2648974657058716	0.35973254	Yes	
row_17	DGAT1	diacylglycerol O-acyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:2843]	157	1.262307047843933	0.37663907	Yes	
row_18	NDRG1	N-myc downstream regulated 1 [Source:HGNC Symbol;Acc:HGNC:7679]	161	1.2523144483566284	0.39244154	Yes	
row_19	HNRNPAB	heterogeneous nuclear ribonucleoprotein A/B [Source:HGNC Symbol;Acc:HGNC:5034]	205	1.133615255355835	0.39371762	Yes	
row_20	MYB	MYB proto-oncogene, transcription factor [Source:HGNC Symbol;Acc:HGNC:7545]	219	1.1040393114089966	0.40430003	Yes	
row_21	AOPEP	aminopeptidase O (putative) [Source:HGNC Symbol;Acc:HGNC:1361]	228	1.0880972146987915	0.416286	Yes	
row_22	SOCS2	suppressor of cytokine signaling 2 [Source:HGNC Symbol;Acc:HGNC:19382]	256	1.0216872692108154	0.42123762	Yes	
row_23	RANBP1	RAN binding protein 1 [Source:HGNC Symbol;Acc:HGNC:9847]	302	0.9493119716644287	0.4193984	Yes	
row_24	NEB	nebulin [Source:HGNC Symbol;Acc:HGNC:7720]	307	0.9397363066673279	0.43069097	Yes	
row_25	ARL5A	ADP ribosylation factor like GTPase 5A [Source:HGNC Symbol;Acc:HGNC:696]	331	0.9073484539985657	0.43540487	Yes	
row_26	BUB1B	BUB1 mitotic checkpoint serine/threonine kinase B [Source:HGNC Symbol;Acc:HGNC:1149]	341	0.8995280265808105	0.44454184	Yes	
row_27	TNFRSF18	TNF receptor superfamily member 18 [Source:HGNC Symbol;Acc:HGNC:11914]	382	0.8451800346374512	0.44292504	Yes	
row_28	PHLPP1	PH domain and leucine rich repeat protein phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:20610]	407	0.8183799982070923	0.44612396	Yes	
row_29	SRSF2	serine and arginine rich splicing factor 2 [Source:HGNC Symbol;Acc:HGNC:10783]	422	0.802802324295044	0.45234835	Yes	
row_30	SLC35D1	solute carrier family 35 member D1 [Source:HGNC Symbol;Acc:HGNC:20800]	442	0.7867484092712402	0.45674068	Yes	
row_31	FOXP3	forkhead box P3 [Source:HGNC Symbol;Acc:HGNC:6106]	531	0.6990126967430115	0.43764228	No	
row_32	SGO2	shugoshin 2 [Source:HGNC Symbol;Acc:HGNC:30812]	536	0.6950281858444214	0.44565737	No	
row_33	GM2A	ganglioside GM2 activator [Source:HGNC Symbol;Acc:HGNC:4367]	568	0.667884349822998	0.44457674	No	
row_34	EXOSC8	exosome component 8 [Source:HGNC Symbol;Acc:HGNC:17035]	587	0.6540616750717163	0.44751534	No	
row_35	LCLAT1	lysocardiolipin acyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:26756]	652	0.6120178699493408	0.43501374	No	
row_36	MIF4GD	MIF4G domain containing [Source:HGNC Symbol;Acc:HGNC:24030]	665	0.6049965023994446	0.4392357	No	
row_37	RBBP7	RB binding protein 7, chromatin remodeling factor [Source:HGNC Symbol;Acc:HGNC:9890]	689	0.5939851999282837	0.4397526	No	
row_38	TEC	tec protein tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:11719]	719	0.577455461025238	0.43810764	No	
row_39	E2F7	E2F transcription factor 7 [Source:HGNC Symbol;Acc:HGNC:23820]	758	0.550076425075531	0.43318525	No	
