NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TIMP2	TIMP metallopeptidase inhibitor 2 [Source:HGNC Symbol;Acc:HGNC:11821]	137	1.3403730392456055	-0.01690066	No	
row_1	SLC39A14	solute carrier family 39 member 14 [Source:HGNC Symbol;Acc:HGNC:20858]	1028	0.43713295459747314	-0.29387054	No	
row_2	SGMS1	sphingomyelin synthase 1 [Source:HGNC Symbol;Acc:HGNC:29799]	1159	0.398580938577652	-0.3275606	No	
row_3	CTBP1	C-terminal binding protein 1 [Source:HGNC Symbol;Acc:HGNC:2494]	1778	0.2552681565284729	-0.5208592	No	
row_4	SETD4	SET domain containing 4 [Source:HGNC Symbol;Acc:HGNC:1258]	1955	-0.28558123111724854	-0.57160544	No	
row_5	ITGB3	integrin subunit beta 3 [Source:HGNC Symbol;Acc:HGNC:6156]	1962	-0.28735753893852234	-0.5677236	No	
row_6	ZZEF1	zinc finger ZZ-type and EF-hand domain containing 1 [Source:HGNC Symbol;Acc:HGNC:29027]	2070	-0.31133270263671875	-0.5957913	No	
row_7	SAYSD1	SAYSVFN motif domain containing 1 [Source:HGNC Symbol;Acc:HGNC:21025]	2107	-0.32417482137680054	-0.60079914	No	
row_8	GUCD1	guanylyl cyclase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:14237]	2134	-0.3319588899612427	-0.60243833	No	
row_9	EPB41	erythrocyte membrane protein band 4.1 [Source:HGNC Symbol;Acc:HGNC:3377]	2162	-0.33881568908691406	-0.60426	Yes	
row_10	TMEM241	transmembrane protein 241 [Source:HGNC Symbol;Acc:HGNC:31723]	2163	-0.33897989988327026	-0.59740794	Yes	
row_11	PYM1	PYM homolog 1, exon junction complex associated factor [Source:HGNC Symbol;Acc:HGNC:30258]	2169	-0.3407047986984253	-0.5921266	Yes	
row_12	ANKRD11	ankyrin repeat domain containing 11 [Source:HGNC Symbol;Acc:HGNC:21316]	2173	-0.34192410111427307	-0.58617836	Yes	
row_13	CHD7	chromodomain helicase DNA binding protein 7 [Source:HGNC Symbol;Acc:HGNC:20626]	2174	-0.34221723675727844	-0.5792608	Yes	
row_14	ATP6V0A2	ATPase H+ transporting V0 subunit a2 [Source:HGNC Symbol;Acc:HGNC:18481]	2182	-0.3435872793197632	-0.5745635	Yes	
row_15	KCNMB4	potassium calcium-activated channel subfamily M regulatory beta subunit 4 [Source:HGNC Symbol;Acc:HGNC:6289]	2237	-0.3585916757583618	-0.584656	Yes	
row_16	DMTF1	cyclin D binding myb like transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:14603]	2244	-0.36321505904197693	-0.57924074	Yes	
row_17	RPH3AL	rabphilin 3A like (without C2 domains) [Source:HGNC Symbol;Acc:HGNC:10296]	2347	-0.4002717137336731	-0.603905	Yes	
row_18	SOS1	SOS Ras/Rac guanine nucleotide exchange factor 1 [Source:HGNC Symbol;Acc:HGNC:11187]	2364	-0.40898945927619934	-0.6007758	Yes	
row_19	USP40	ubiquitin specific peptidase 40 [Source:HGNC Symbol;Acc:HGNC:20069]	2400	-0.42701855301856995	-0.60338366	Yes	
row_20	VIPR1	vasoactive intestinal peptide receptor 1 [Source:HGNC Symbol;Acc:HGNC:12694]	2410	-0.4316398799419403	-0.59754866	Yes	
