NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	S100A4	S100 calcium binding protein A4 [Source:HGNC Symbol;Acc:HGNC:10494]	0	3.7469513416290283	0.036782324	Yes	
row_1	CTLA4	cytotoxic T-lymphocyte associated protein 4 [Source:HGNC Symbol;Acc:HGNC:2505]	6	2.8211660385131836	0.06285584	Yes	
row_2	S100A10	S100 calcium binding protein A10 [Source:HGNC Symbol;Acc:HGNC:10487]	8	2.736541986465454	0.08939523	Yes	
row_3	MAF	MAF bZIP transcription factor [Source:HGNC Symbol;Acc:HGNC:6776]	12	2.543809652328491	0.11339434	Yes	
row_4	S100A6	S100 calcium binding protein A6 [Source:HGNC Symbol;Acc:HGNC:10496]	14	2.531407594680786	0.13792	Yes	
row_5	LGALS3	galectin 3 [Source:HGNC Symbol;Acc:HGNC:6563]	21	2.2105937004089355	0.15767564	Yes	
row_6	NKG7	natural killer cell granule protein 7 [Source:HGNC Symbol;Acc:HGNC:7830]	24	2.186708688735962	0.17849338	Yes	
row_7	SRGN	serglycin [Source:HGNC Symbol;Acc:HGNC:9361]	29	2.1219513416290283	0.19802713	Yes	
row_8	BHLHE40	basic helix-loop-helix family member e40 [Source:HGNC Symbol;Acc:HGNC:1046]	31	2.0509228706359863	0.21783608	Yes	
row_9	PIM1	Pim-1 proto-oncogene, serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:8986]	35	2.0223381519317627	0.23671612	Yes	
row_10	IL18R1	interleukin 18 receptor 1 [Source:HGNC Symbol;Acc:HGNC:5988]	37	2.0096065998077393	0.25611946	Yes	
row_11	DENND4A	DENN domain containing 4A [Source:HGNC Symbol;Acc:HGNC:24321]	38	2.0013234615325928	0.27576566	Yes	
row_12	ATXN1	ataxin 1 [Source:HGNC Symbol;Acc:HGNC:10548]	44	1.9290133714675903	0.29308128	Yes	
row_13	IFNGR1	interferon gamma receptor 1 [Source:HGNC Symbol;Acc:HGNC:5439]	49	1.8932949304580688	0.31037042	Yes	
row_14	OSBPL3	oxysterol binding protein like 3 [Source:HGNC Symbol;Acc:HGNC:16370]	59	1.796229600906372	0.32508594	Yes	
row_15	ICOS	inducible T cell costimulator [Source:HGNC Symbol;Acc:HGNC:5351]	64	1.76656973361969	0.34113103	Yes	
row_16	ODC1	ornithine decarboxylase 1 [Source:HGNC Symbol;Acc:HGNC:8109]	66	1.7545219659805298	0.35803035	Yes	
row_17	IL2RA	interleukin 2 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:6008]	67	1.7493267059326172	0.37520278	Yes	
row_18	RGS1	regulator of G protein signaling 1 [Source:HGNC Symbol;Acc:HGNC:9991]	69	1.74043869972229	0.3919638	Yes	
row_19	GADD45B	growth arrest and DNA damage inducible beta [Source:HGNC Symbol;Acc:HGNC:4096]	77	1.698806643486023	0.4063713	Yes	
row_20	TNFRSF4	TNF receptor superfamily member 4 [Source:HGNC Symbol;Acc:HGNC:11918]	97	1.5430952310562134	0.4153604	Yes	
row_21	TNFSF11	TNF superfamily member 11 [Source:HGNC Symbol;Acc:HGNC:11926]	98	1.5314089059829712	0.43039364	Yes	
row_22	NIBAN1	niban apoptosis regulator 1 [Source:HGNC Symbol;Acc:HGNC:16784]	104	1.4816638231277466	0.4433178	Yes	
row_23	NR4A2	nuclear receptor subfamily 4 group A member 2 [Source:HGNC Symbol;Acc:HGNC:7981]	114	1.4243136644363403	0.45438236	Yes	
row_24	BCL2A1	BCL2 related protein A1 [Source:HGNC Symbol;Acc:HGNC:991]	141	1.3257839679718018	0.45896918	Yes	
row_25	CD44	CD44 molecule (Indian blood group) [Source:HGNC Symbol;Acc:HGNC:1681]	142	1.315358281135559	0.47188154	Yes	
row_26	IKZF2	IKAROS family zinc finger 2 [Source:HGNC Symbol;Acc:HGNC:13177]	151	1.286158561706543	0.48191404	Yes	
row_27	DUSP4	dual specificity phosphatase 4 [Source:HGNC Symbol;Acc:HGNC:3070]	156	1.2648974657058716	0.49303442	Yes	
row_28	TNFRSF1B	TNF receptor superfamily member 1B [Source:HGNC Symbol;Acc:HGNC:11917]	160	1.256526231765747	0.5043968	Yes	
row_29	PRR13	proline rich 13 [Source:HGNC Symbol;Acc:HGNC:24528]	170	1.2297782897949219	0.5135517	Yes	
row_30	CREB3L2	cAMP responsive element binding protein 3 like 2 [Source:HGNC Symbol;Acc:HGNC:23720]	180	1.2042392492294312	0.5224559	Yes	
row_31	CCL5	C-C motif chemokine ligand 5 [Source:HGNC Symbol;Acc:HGNC:10632]	194	1.1737775802612305	0.5297645	Yes	
row_32	DUSP5	dual specificity phosphatase 5 [Source:HGNC Symbol;Acc:HGNC:3071]	196	1.1712144613265991	0.54093766	Yes	
row_33	TPI1	triosephosphate isomerase 1 [Source:HGNC Symbol;Acc:HGNC:12009]	204	1.1413638591766357	0.54987293	Yes	
