NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
S100A4	1	S100a4	
LGALS1	1	Lgals1	
H1-5	1	Hist1h1b	
HMGB2	1	Hmgb2	
MKI67	1	Mki67	
TOP2A	1	Top2a	
CTLA4	1	Ctla4	
STMN1	1	Stmn1	
S100A10	1	S100a10	
VIM	1	Vim	
IL17A	1	Il17a	
H2AZ1	1	H2afz	
MAF	1	Maf	
CRIP1	1	Crip1	
S100A6	1	S100a6	
PCLAF	1	Pclaf	
LMNB1	1	Lmnb1	
CMTM7	1	Cmtm7	
UBE2C	1	Ube2c	
TMEM163	1	Tmem163	
NT5E	1	Nt5e	
LGALS3	1	Lgals3	
IGFBP7	1	Igfbp7	
BIRC5	1	Birc5	
NKG7	1	Nkg7	
CAPG	1	Capg	
ARL6IP1	1	Arl6ip1	
RORA	1	Rora	
LGALS7	1	Lgals7	
SRGN	1	Srgn	
DIAPH3	1	Diaph3	
BHLHE40	1	Bhlhe40	
H4C1	1	Hist1h4d	
S100A11	1	S100a11	
RBPJ	1	Rbpj	
PIM1	1	Pim1	
PTMS	1	Ptms	
IL18R1	1	Il18r1	
DENND4A	1	Dennd4a	
UBASH3B	1	Ubash3b	
ITGAV	1	Itgav	
CENPA	1	Cenpa	
RBM3	1	Rbm3	
CDCA8	1	Cdca8	
ATXN1	1	Atxn1	
AHNAK	1	Ahnak	
DUT	1	Dut	
CENPF	1	Cenpf	
ACTG1	1	Actg1	
IFNGR1	1	Ifngr1	
H1-4	1	Hist1h1e	
NUSAP1	1	Nusap1	
LAG3	1	Lag3	
PTMA	1	Ptma	
KDM2B	1	Kdm2b	
IL2RB	1	Il2rb	
HMGB1	1	Hmgb1	
ANXA2	1	Anxa2	
MXI1	1	Mxi1	
OSBPL3	1	Osbpl3	
TUBB	1	Tubb5	
PRC1	1	Prc1	
RUNX2	1	Runx2	
ATP2B4	1	Atp2b4	
ICOS	1	Icos	
RABGAP1L	1	Rabgap1l	
ODC1	1	Odc1	
IL2RA	1	Il2ra	
CKS2	1	Cks2	
RGS1	1	Rgs1	
ANP32E	1	Anp32e	
NRGN	1	Nrgn	
SMC2	1	Smc2	
STX11	1	Stx11	
TXN	1	Txn1	
KIF11	1	Kif11	
CENPE	1	Cenpe	
GADD45B	1	Gadd45b	
EEA1	1	Eea1	
H2AX	1	H2afx	
HIF1A	1	Hif1a	
GAPDH	1	Gapdh	
FURIN	1	Furin	
LIG1	1	Lig1	
TPX2	1	Tpx2	
ARHGAP31	1	Arhgap31	
TAGLN2	1	Tagln2	
LAMC1	1	Lamc1	
TNFRSF9	1	Tnfrsf9	
PTPRJ	1	Ptprj	
H2AZ2	1	H2afv	
ALCAM	1	Alcam	
TRPS1	1	Trps1	
TUBA1B	1	Tuba1b	
