NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
SAFFORD_T_LYMPHOCYTE_ANERGY	89	32		
GSE20366_TREG_VS_NAIVE_CD4_TCELL_HOMEOSTATIC_CONVERSION_UP	200	89		
GSE20366_TREG_VS_NAIVE_CD4_TCELL_DEC205_CONVERSION_UP	199	77		
GSE7852_TREG_VS_TCONV_THYMUS_UP	200	96		
GSE7852_TREG_VS_TCONV_THYMUS_DN	199	67		
GSE7852_TREG_VS_TCONV_UP	200	84		
GSE22045_TREG_VS_TCONV_UP	189	45		
GSE22045_TREG_VS_TCONV_DN	192	34		
GSE13306_TREG_VS_TCONV_UP	198	38		
GSE13306_TREG_RA_VS_TCONV_RA_DN	200	27		
GSE13306_TREG_RA_VS_TCONV_RA_UP	200	41		
GSE14308_NAIVE_CD4_TCELL_VS_NATURAL_TREG_UP	199	49		
GSE14308_NAIVE_CD4_TCELL_VS_NATURAL_TREG_DN	200	57		
GSE14308_NAIVE_CD4_TCELL_VS_INDUCED_TREG_UP	199	52		
GSE14308_NAIVE_CD4_TCELL_VS_INDUCED_TREG_DN	200	48		
GSE14308_TH17_VS_NAIVE_CD4_TCELL_UP	200	58		
GSE14308_TH17_VS_NAIVE_CD4_TCELL_DN	199	53		
