NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GSE7852_TREG_VS_TCONV_THYMUS_UP	GSE7852_TREG_VS_TCONV_THYMUS_UP	Details ...	96	0.6454347	3.141231	0.0	0.0	0.0	343	tags=50%, list=11%, signal=54%	
GSE7852_TREG_VS_TCONV_UP	GSE7852_TREG_VS_TCONV_UP	Details ...	84	0.54576653	2.578736	0.0	0.0	0.0	562	tags=46%, list=18%, signal=55%	
GSE20366_TREG_VS_NAIVE_CD4_TCELL_HOMEOSTATIC_CONVERSION_UP	GSE20366_TREG_VS_NAIVE_CD4_TCELL_HOMEOSTATIC_CONVERSION_UP	Details ...	89	0.45674068	2.180901	0.0	2.619048E-4	0.001	442	tags=35%, list=14%, signal=39%	
GSE22045_TREG_VS_TCONV_UP	GSE22045_TREG_VS_TCONV_UP	Details ...	45	0.4708295	1.9640787	0.0015037594	0.0023591574	0.009	766	tags=47%, list=24%, signal=61%	
SAFFORD_T_LYMPHOCYTE_ANERGY	SAFFORD_T_LYMPHOCYTE_ANERGY	Details ...	32	0.48587546	1.8747408	0.003003003	0.004436691	0.021	161	tags=34%, list=5%, signal=36%	
GSE14308_NAIVE_CD4_TCELL_VS_INDUCED_TREG_DN	GSE14308_NAIVE_CD4_TCELL_VS_INDUCED_TREG_DN	Details ...	48	0.40871745	1.7303103	0.010385756	0.013548652	0.081	1352	tags=75%, list=43%, signal=128%	
GSE14308_NAIVE_CD4_TCELL_VS_NATURAL_TREG_DN	GSE14308_NAIVE_CD4_TCELL_VS_NATURAL_TREG_DN	Details ...	57	0.33308485	1.4633234	0.04450626	0.07855647	0.454	488	tags=30%, list=15%, signal=35%	
GSE20366_TREG_VS_NAIVE_CD4_TCELL_DEC205_CONVERSION_UP	GSE20366_TREG_VS_NAIVE_CD4_TCELL_DEC205_CONVERSION_UP	Details ...	77	0.30906412	1.4298593	0.042384107	0.085204825	0.531	650	tags=36%, list=20%, signal=45%	
GSE14308_TH17_VS_NAIVE_CD4_TCELL_UP	GSE14308_TH17_VS_NAIVE_CD4_TCELL_UP	Details ...	58	0.27740738	1.2320418	0.18381344	0.22703834	0.895	1662	tags=76%, list=52%, signal=156%	
GSE13306_TREG_RA_VS_TCONV_RA_UP	GSE13306_TREG_RA_VS_TCONV_RA_UP	Details ...	41	0.29848233	1.2116048	0.20116618	0.22590205	0.923	455	tags=22%, list=14%, signal=25%	
GSE13306_TREG_VS_TCONV_UP	GSE13306_TREG_VS_TCONV_UP	Details ...	38	0.24365276	0.9751689	0.48820058	0.5068461	0.999	347	tags=18%, list=11%, signal=20%	
