NAME	TITLE	SCORE	
S100A4	S100 calcium binding protein A4 [Source:HGNC Symbol;Acc:HGNC:10494]	3.7469513	
LGALS1	galectin 1 [Source:HGNC Symbol;Acc:HGNC:6561]	3.6433332	
H1-5	H1.5 linker histone, cluster member [Source:HGNC Symbol;Acc:HGNC:4719]	3.6247873	
HMGB2	high mobility group box 2 [Source:HGNC Symbol;Acc:HGNC:5000]	3.3044653	
MKI67	marker of proliferation Ki-67 [Source:HGNC Symbol;Acc:HGNC:7107]	2.995937	
TOP2A	DNA topoisomerase II alpha [Source:HGNC Symbol;Acc:HGNC:11989]	2.8929603	
CTLA4	cytotoxic T-lymphocyte associated protein 4 [Source:HGNC Symbol;Acc:HGNC:2505]	2.821166	
STMN1	stathmin 1 [Source:HGNC Symbol;Acc:HGNC:6510]	2.7962701	
S100A10	S100 calcium binding protein A10 [Source:HGNC Symbol;Acc:HGNC:10487]	2.736542	
VIM	vimentin [Source:HGNC Symbol;Acc:HGNC:12692]	2.6474884	
IL17A	interleukin 17A [Source:HGNC Symbol;Acc:HGNC:5981]	2.6329436	
H2AZ1	H2A.Z variant histone 1 [Source:HGNC Symbol;Acc:HGNC:4741]	2.5539808	
MAF	MAF bZIP transcription factor [Source:HGNC Symbol;Acc:HGNC:6776]	2.5438097	
CRIP1	cysteine rich protein 1 [Source:HGNC Symbol;Acc:HGNC:2360]	2.542626	
S100A6	S100 calcium binding protein A6 [Source:HGNC Symbol;Acc:HGNC:10496]	2.5314076	
PCLAF	PCNA clamp associated factor [Source:HGNC Symbol;Acc:HGNC:28961]	2.5304103	
LMNB1	lamin B1 [Source:HGNC Symbol;Acc:HGNC:6637]	2.3550277	
CMTM7	CKLF like MARVEL transmembrane domain containing 7 [Source:HGNC Symbol;Acc:HGNC:19178]	2.3322315	
UBE2C	ubiquitin conjugating enzyme E2 C [Source:HGNC Symbol;Acc:HGNC:15937]	2.2955852	
TMEM163	transmembrane protein 163 [Source:HGNC Symbol;Acc:HGNC:25380]	2.2687147	
NT5E	5'-nucleotidase ecto [Source:HGNC Symbol;Acc:HGNC:8021]	2.2422469	
LGALS3	galectin 3 [Source:HGNC Symbol;Acc:HGNC:6563]	2.2105937	
IGFBP7	insulin like growth factor binding protein 7 [Source:HGNC Symbol;Acc:HGNC:5476]	2.1929502	
BIRC5	baculoviral IAP repeat containing 5 [Source:HGNC Symbol;Acc:HGNC:593]	2.1870704	
NKG7	natural killer cell granule protein 7 [Source:HGNC Symbol;Acc:HGNC:7830]	2.1867087	
CAPG	capping actin protein, gelsolin like [Source:HGNC Symbol;Acc:HGNC:1474]	2.18189	
ARL6IP1	ADP ribosylation factor like GTPase 6 interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:697]	2.1641138	
RORA	RAR related orphan receptor A [Source:HGNC Symbol;Acc:HGNC:10258]	2.1555014	
LGALS7	galectin 7 [Source:HGNC Symbol;Acc:HGNC:6568]	2.1387188	
SRGN	serglycin [Source:HGNC Symbol;Acc:HGNC:9361]	2.1219513	
DIAPH3	diaphanous related formin 3 [Source:HGNC Symbol;Acc:HGNC:15480]	2.111371	
BHLHE40	basic helix-loop-helix family member e40 [Source:HGNC Symbol;Acc:HGNC:1046]	2.0509229	
H4C1	H4 clustered histone 1 [Source:HGNC Symbol;Acc:HGNC:4781]	2.0401926	
S100A11	S100 calcium binding protein A11 [Source:HGNC Symbol;Acc:HGNC:10488]	2.0379171	
RBPJ	recombination signal binding protein for immunoglobulin kappa J region [Source:HGNC Symbol;Acc:HGNC:5724]	2.026595	
PIM1	Pim-1 proto-oncogene, serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:8986]	2.0223382	
PTMS	parathymosin [Source:HGNC Symbol;Acc:HGNC:9629]	2.0120711	
IL18R1	interleukin 18 receptor 1 [Source:HGNC Symbol;Acc:HGNC:5988]	2.0096066	
DENND4A	DENN domain containing 4A [Source:HGNC Symbol;Acc:HGNC:24321]	2.0013235	
UBASH3B	ubiquitin associated and SH3 domain containing B [Source:HGNC Symbol;Acc:HGNC:29884]	2.0011582	
ITGAV	integrin subunit alpha V [Source:HGNC Symbol;Acc:HGNC:6150]	1.9648123	
CENPA	centromere protein A [Source:HGNC Symbol;Acc:HGNC:1851]	1.961355	
RBM3	RNA binding motif protein 3 [Source:HGNC Symbol;Acc:HGNC:9900]	1.9303637	
CDCA8	cell division cycle associated 8 [Source:HGNC Symbol;Acc:HGNC:14629]	1.9297668	
ATXN1	ataxin 1 [Source:HGNC Symbol;Acc:HGNC:10548]	1.9290134	
