NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TIMP2	TIMP metallopeptidase inhibitor 2 [Source:HGNC Symbol;Acc:HGNC:11821]	64	1.830704689025879	0.030627588	Yes	
row_1	ANXA2	annexin A2 [Source:HGNC Symbol;Acc:HGNC:537]	65	1.8143649101257324	0.08476463	Yes	
row_2	LITAF	lipopolysaccharide induced TNF factor [Source:HGNC Symbol;Acc:HGNC:16841]	69	1.7964686155319214	0.13724282	Yes	
row_3	UBL3	ubiquitin like 3 [Source:HGNC Symbol;Acc:HGNC:12504]	121	1.3763340711593628	0.15918729	Yes	
row_4	CXCR6	C-X-C motif chemokine receptor 6 [Source:HGNC Symbol;Acc:HGNC:16647]	142	1.2770901918411255	0.18979405	Yes	
row_5	TEX2	testis expressed 2 [Source:HGNC Symbol;Acc:HGNC:30884]	156	1.2375774383544922	0.2218465	Yes	
row_6	NFKB1	nuclear factor kappa B subunit 1 [Source:HGNC Symbol;Acc:HGNC:7794]	160	1.2278623580932617	0.2573586	Yes	
row_7	ERN1	endoplasmic reticulum to nucleus signaling 1 [Source:HGNC Symbol;Acc:HGNC:3449]	165	1.2042535543441772	0.29179135	Yes	
row_8	SERINC3	serine incorporator 3 [Source:HGNC Symbol;Acc:HGNC:11699]	168	1.1998389959335327	0.32684225	Yes	
row_9	OAZ1	ornithine decarboxylase antizyme 1 [Source:HGNC Symbol;Acc:HGNC:8095]	214	1.072123646736145	0.3419594	Yes	
row_10	KIAA1958	KIAA1958 [Source:HGNC Symbol;Acc:HGNC:23427]	342	0.8494097590446472	0.31968504	Yes	
row_11	PFN1	profilin 1 [Source:HGNC Symbol;Acc:HGNC:8881]	410	0.7695397734642029	0.31752473	Yes	
row_12	JUND	JunD proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:6206]	425	0.7521795034408569	0.3347189	Yes	
row_13	ICAM1	intercellular adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:5344]	473	0.6862390041351318	0.33757213	Yes	
row_14	NMB	neuromedin B [Source:HGNC Symbol;Acc:HGNC:7842]	490	0.6747218370437622	0.35170525	Yes	
row_15	SLC35D1	solute carrier family 35 member D1 [Source:HGNC Symbol;Acc:HGNC:20800]	516	0.6522449851036072	0.3617931	Yes	
row_16	HINT1	histidine triad nucleotide binding protein 1 [Source:HGNC Symbol;Acc:HGNC:4912]	602	0.5815147757530212	0.34727335	Yes	
row_17	ZYX	zyxin [Source:HGNC Symbol;Acc:HGNC:13200]	605	0.5808141827583313	0.36385378	Yes	
row_18	NFKBIE	NFKB inhibitor epsilon [Source:HGNC Symbol;Acc:HGNC:7799]	743	0.49218079447746277	0.32717088	No	
row_19	LY6E	lymphocyte antigen 6 family member E [Source:HGNC Symbol;Acc:HGNC:6727]	756	0.4852387309074402	0.33715	No	
