NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CCL4	C-C motif chemokine ligand 4 [Source:HGNC Symbol;Acc:HGNC:10630]	29	2.3278274536132812	0.06940406	Yes	
row_1	TIMP2	TIMP metallopeptidase inhibitor 2 [Source:HGNC Symbol;Acc:HGNC:11821]	64	1.830704689025879	0.1197911	Yes	
row_2	ADAMTS6	ADAM metallopeptidase with thrombospondin type 1 motif 6 [Source:HGNC Symbol;Acc:HGNC:222]	236	1.0299420356750488	0.09121502	Yes	
row_3	CTSD	cathepsin D [Source:HGNC Symbol;Acc:HGNC:2529]	243	1.0165326595306396	0.12402062	Yes	
row_4	HIVEP3	HIVEP zinc finger 3 [Source:HGNC Symbol;Acc:HGNC:13561]	247	1.0102829933166504	0.15773514	Yes	
row_5	ORAI1	ORAI calcium release-activated calcium modulator 1 [Source:HGNC Symbol;Acc:HGNC:25896]	279	0.9413596391677856	0.17857812	Yes	
row_6	NR4A1	nuclear receptor subfamily 4 group A member 1 [Source:HGNC Symbol;Acc:HGNC:7980]	300	0.9010794162750244	0.20215501	Yes	
row_7	C19orf53	chromosome 19 open reading frame 53 [Source:HGNC Symbol;Acc:HGNC:24991]	383	0.7987915873527527	0.19896619	No	
row_8	GIMAP4	GTPase, IMAP family member 4 [Source:HGNC Symbol;Acc:HGNC:21872]	489	0.6750757098197937	0.18289042	No	
row_9	CD5	CD5 molecule [Source:HGNC Symbol;Acc:HGNC:1685]	788	0.46382853388786316	0.08719109	No	
row_10	RHOG	ras homolog family member G [Source:HGNC Symbol;Acc:HGNC:672]	885	0.42685163021087646	0.06592878	No	
row_11	NPC2	NPC intracellular cholesterol transporter 2 [Source:HGNC Symbol;Acc:HGNC:14537]	1068	0.35718995332717896	0.010030353	No	
row_12	AFF1	ALF transcription elongation factor 1 [Source:HGNC Symbol;Acc:HGNC:7135]	1201	0.3151833713054657	-0.028576015	No	
row_13	DNAJB11	DnaJ heat shock protein family (Hsp40) member B11 [Source:HGNC Symbol;Acc:HGNC:14889]	1315	0.2873683571815491	-0.06102013	No	
