NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NIBAN1	niban apoptosis regulator 1 [Source:HGNC Symbol;Acc:HGNC:16784]	26	2.4017951488494873	0.026606947	Yes	
row_1	TNFRSF4	TNF receptor superfamily member 4 [Source:HGNC Symbol;Acc:HGNC:11918]	28	2.334975004196167	0.061655458	Yes	
row_2	IL10	interleukin 10 [Source:HGNC Symbol;Acc:HGNC:5962]	36	2.2394347190856934	0.092985116	Yes	
row_3	TNFRSF9	TNF receptor superfamily member 9 [Source:HGNC Symbol;Acc:HGNC:11924]	45	2.0985958576202393	0.12179973	Yes	
row_4	DENND4A	DENN domain containing 4A [Source:HGNC Symbol;Acc:HGNC:24321]	52	2.0066871643066406	0.14997631	Yes	
row_5	NEB	nebulin [Source:HGNC Symbol;Acc:HGNC:7720]	53	2.002046585083008	0.18035178	Yes	
row_6	GADD45B	growth arrest and DNA damage inducible beta [Source:HGNC Symbol;Acc:HGNC:4096]	55	1.9220138788223267	0.20913476	Yes	
row_7	FOXP3	forkhead box P3 [Source:HGNC Symbol;Acc:HGNC:6106]	66	1.8074678182601929	0.23277588	Yes	
row_8	AOPEP	aminopeptidase O (putative) [Source:HGNC Symbol;Acc:HGNC:1361]	68	1.7980095148086548	0.25967744	Yes	
row_9	PHLPP1	PH domain and leucine rich repeat protein phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:20610]	70	1.7741392850875854	0.28621686	Yes	
row_10	IL2RA	interleukin 2 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:6008]	73	1.742404580116272	0.31189653	Yes	
row_11	CDK6	cyclin dependent kinase 6 [Source:HGNC Symbol;Acc:HGNC:1777]	90	1.5586185455322266	0.32949278	Yes	
row_12	TNFRSF18	TNF receptor superfamily member 18 [Source:HGNC Symbol;Acc:HGNC:11914]	98	1.509407639503479	0.34974632	Yes	
row_13	GZMB	granzyme B [Source:HGNC Symbol;Acc:HGNC:4709]	124	1.3631342649459839	0.3609727	Yes	
