NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TIMP2	TIMP metallopeptidase inhibitor 2 [Source:HGNC Symbol;Acc:HGNC:11821]	64	1.830704689025879	0.016090749	No	
row_1	SLC39A14	solute carrier family 39 member 14 [Source:HGNC Symbol;Acc:HGNC:20858]	447	0.7181761264801025	-0.11217202	No	
row_2	CPM	carboxypeptidase M [Source:HGNC Symbol;Acc:HGNC:2311]	648	0.5487270355224609	-0.1755304	No	
row_3	SGMS1	sphingomyelin synthase 1 [Source:HGNC Symbol;Acc:HGNC:29799]	710	0.5096897482872009	-0.18733323	No	
row_4	ARL4C	ADP ribosylation factor like GTPase 4C [Source:HGNC Symbol;Acc:HGNC:698]	737	0.4949052929878235	-0.1862633	No	
row_5	P2RX4	purinergic receptor P2X 4 [Source:HGNC Symbol;Acc:HGNC:8535]	916	0.41942256689071655	-0.24416707	No	
row_6	NPC2	NPC intracellular cholesterol transporter 2 [Source:HGNC Symbol;Acc:HGNC:14537]	1068	0.35718995332717896	-0.2932572	No	
row_7	SETD4	SET domain containing 4 [Source:HGNC Symbol;Acc:HGNC:1258]	1540	-0.26430049538612366	-0.46505192	No	
row_8	PYM1	PYM homolog 1, exon junction complex associated factor [Source:HGNC Symbol;Acc:HGNC:30258]	1596	-0.27383702993392944	-0.47977436	No	
row_9	SLC38A9	solute carrier family 38 member 9 [Source:HGNC Symbol;Acc:HGNC:26907]	1693	-0.29437437653541565	-0.50950557	No	
row_10	ATP6V0A2	ATPase H+ transporting V0 subunit a2 [Source:HGNC Symbol;Acc:HGNC:18481]	1714	-0.2975807785987854	-0.5105087	No	
row_11	DMTF1	cyclin D binding myb like transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:14603]	1750	-0.30761638283729553	-0.5169475	No	
row_12	RNF167	ring finger protein 167 [Source:HGNC Symbol;Acc:HGNC:24544]	1773	-0.31150057911872864	-0.51839894	No	
row_13	RPH3AL	rabphilin 3A like (without C2 domains) [Source:HGNC Symbol;Acc:HGNC:10296]	1793	-0.31624311208724976	-0.518615	No	
row_14	SAYSD1	SAYSVFN motif domain containing 1 [Source:HGNC Symbol;Acc:HGNC:21025]	1841	-0.3283936083316803	-0.5291222	No	
row_15	USP40	ubiquitin specific peptidase 40 [Source:HGNC Symbol;Acc:HGNC:20069]	1867	-0.3355148136615753	-0.5311772	No	
row_16	SOS1	SOS Ras/Rac guanine nucleotide exchange factor 1 [Source:HGNC Symbol;Acc:HGNC:11187]	1881	-0.34060874581336975	-0.52859545	No	
row_17	GUCD1	guanylyl cyclase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:14237]	1903	-0.34991902112960815	-0.52882576	No	
row_18	ZFP36	ZFP36 ring finger protein [Source:HGNC Symbol;Acc:HGNC:12862]	1941	-0.35979217290878296	-0.5348723	No	
row_19	CLIP1	CAP-Gly domain containing linker protein 1 [Source:HGNC Symbol;Acc:HGNC:10461]	1961	-0.36686989665031433	-0.53397596	No	
row_20	UBE2D1	ubiquitin conjugating enzyme E2 D1 [Source:HGNC Symbol;Acc:HGNC:12474]	2030	-0.4010518491268158	-0.5508053	Yes	
row_21	PIP4K2A	phosphatidylinositol-5-phosphate 4-kinase type 2 alpha [Source:HGNC Symbol;Acc:HGNC:8997]	2045	-0.4069696366786957	-0.5471425	Yes	
row_22	ZNRF3	zinc and ring finger 3 [Source:HGNC Symbol;Acc:HGNC:18126]	2067	-0.4168468415737152	-0.54590225	Yes	
row_23	VIPR1	vasoactive intestinal peptide receptor 1 [Source:HGNC Symbol;Acc:HGNC:12694]	2091	-0.4270661473274231	-0.54519165	Yes	
row_24	SLC16A5	solute carrier family 16 member 5 [Source:HGNC Symbol;Acc:HGNC:10926]	2110	-0.4358901381492615	-0.5424018	Yes	
row_25	DAXX	death domain associated protein [Source:HGNC Symbol;Acc:HGNC:2681]	2138	-0.44898903369903564	-0.5427178	Yes	
row_26	NFE2L2	NFE2 like bZIP transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:7782]	2151	-0.45828038454055786	-0.5371735	Yes	
row_27	MAN1A2	mannosidase alpha class 1A member 2 [Source:HGNC Symbol;Acc:HGNC:6822]	2176	-0.4719548523426056	-0.5358537	Yes	
row_28	KCNMB4	potassium calcium-activated channel subfamily M regulatory beta subunit 4 [Source:HGNC Symbol;Acc:HGNC:6289]	2206	-0.48431941866874695	-0.5361476	Yes	
row_29	C1orf21	chromosome 1 open reading frame 21 [Source:HGNC Symbol;Acc:HGNC:15494]	2210	-0.4870850145816803	-0.52657676	Yes	
row_30	PGLYRP2	peptidoglycan recognition protein 2 [Source:HGNC Symbol;Acc:HGNC:30013]	2219	-0.49373096227645874	-0.5187453	Yes	
