NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	S100A4	S100 calcium binding protein A4 [Source:HGNC Symbol;Acc:HGNC:10494]	0	4.823666572570801	0.036778096	Yes	
row_1	CCL5	C-C motif chemokine ligand 5 [Source:HGNC Symbol;Acc:HGNC:10632]	1	4.077017307281494	0.06786336	Yes	
row_2	S100A6	S100 calcium binding protein A6 [Source:HGNC Symbol;Acc:HGNC:10496]	2	4.064964771270752	0.098856725	Yes	
row_3	CTLA4	cytotoxic T-lymphocyte associated protein 4 [Source:HGNC Symbol;Acc:HGNC:2505]	3	3.847479820251465	0.12819187	Yes	
row_4	MAF	MAF bZIP transcription factor [Source:HGNC Symbol;Acc:HGNC:6776]	4	3.50056791305542	0.15488198	Yes	
row_5	NKG7	natural killer cell granule protein 7 [Source:HGNC Symbol;Acc:HGNC:7830]	7	3.074232816696167	0.17755699	Yes	
row_6	S100A10	S100 calcium binding protein A10 [Source:HGNC Symbol;Acc:HGNC:10487]	8	3.0017857551574707	0.20044413	Yes	
row_7	ICOS	inducible T cell costimulator [Source:HGNC Symbol;Acc:HGNC:5351]	10	2.8784165382385254	0.22200839	Yes	
row_8	CCR2	C-C motif chemokine receptor 2 [Source:HGNC Symbol;Acc:HGNC:1603]	16	2.6410651206970215	0.2402339	Yes	
row_9	SRGN	serglycin [Source:HGNC Symbol;Acc:HGNC:9361]	17	2.6155166625976562	0.26017594	Yes	
row_10	PIM1	Pim-1 proto-oncogene, serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:8986]	21	2.5206568241119385	0.27824792	Yes	
row_11	LGALS3	galectin 3 [Source:HGNC Symbol;Acc:HGNC:6563]	23	2.5082924365997314	0.29699016	Yes	
row_12	NIBAN1	niban apoptosis regulator 1 [Source:HGNC Symbol;Acc:HGNC:16784]	26	2.4017951488494873	0.31453815	Yes	
row_13	TNFRSF4	TNF receptor superfamily member 4 [Source:HGNC Symbol;Acc:HGNC:11918]	28	2.334975004196167	0.33195892	Yes	
row_14	ATXN1	ataxin 1 [Source:HGNC Symbol;Acc:HGNC:10548]	38	2.210456371307373	0.3453722	Yes	
row_15	IFNGR1	interferon gamma receptor 1 [Source:HGNC Symbol;Acc:HGNC:5439]	43	2.149707078933716	0.36023363	Yes	
row_16	ODC1	ornithine decarboxylase 1 [Source:HGNC Symbol;Acc:HGNC:8109]	46	2.096017837524414	0.3754502	Yes	
row_17	TNFRSF1B	TNF receptor superfamily member 1B [Source:HGNC Symbol;Acc:HGNC:11917]	48	2.0744669437408447	0.39088473	Yes	
row_18	DENND4A	DENN domain containing 4A [Source:HGNC Symbol;Acc:HGNC:24321]	52	2.0066871643066406	0.40503794	Yes	
row_19	GADD45B	growth arrest and DNA damage inducible beta [Source:HGNC Symbol;Acc:HGNC:4096]	55	1.9220138788223267	0.41892785	Yes	
row_20	OSBPL3	oxysterol binding protein like 3 [Source:HGNC Symbol;Acc:HGNC:16370]	61	1.8422942161560059	0.43106312	Yes	
row_21	FOXP3	forkhead box P3 [Source:HGNC Symbol;Acc:HGNC:6106]	66	1.8074678182601929	0.44331512	Yes	
row_22	RGS1	regulator of G protein signaling 1 [Source:HGNC Symbol;Acc:HGNC:9991]	67	1.7996861934661865	0.45703685	Yes	
row_23	PHLPP1	PH domain and leucine rich repeat protein phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:20610]	70	1.7741392850875854	0.46979928	Yes	
row_24	IL2RA	interleukin 2 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:6008]	73	1.742404580116272	0.4823197	Yes	
row_25	ARL5A	ADP ribosylation factor like GTPase 5A [Source:HGNC Symbol;Acc:HGNC:696]	74	1.7327958345413208	0.49553144	Yes	
row_26	IL1R1	interleukin 1 receptor type 1 [Source:HGNC Symbol;Acc:HGNC:5993]	83	1.5861148834228516	0.50456667	Yes	
row_27	IL18R1	interleukin 18 receptor 1 [Source:HGNC Symbol;Acc:HGNC:5988]	91	1.5544133186340332	0.5137425	Yes	
row_28	SOCS2	suppressor of cytokine signaling 2 [Source:HGNC Symbol;Acc:HGNC:19382]	92	1.5452888011932373	0.52552456	Yes	
row_29	RAB8B	RAB8B, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:30273]	95	1.5343085527420044	0.5364584	Yes	
row_30	NR4A2	nuclear receptor subfamily 4 group A member 2 [Source:HGNC Symbol;Acc:HGNC:7981]	96	1.530449390411377	0.5481273	Yes	
row_31	IKZF2	IKAROS family zinc finger 2 [Source:HGNC Symbol;Acc:HGNC:13177]	100	1.4924695491790771	0.55835986	Yes	
row_32	PRR13	proline rich 13 [Source:HGNC Symbol;Acc:HGNC:24528]	101	1.4889554977416992	0.56971246	Yes	
row_33	MDFIC	MyoD family inhibitor domain containing [Source:HGNC Symbol;Acc:HGNC:28870]	102	1.485022783279419	0.581035	Yes	
row_34	CHST11	carbohydrate sulfotransferase 11 [Source:HGNC Symbol;Acc:HGNC:17422]	104	1.4798963069915771	0.59193623	Yes	
row_35	CREB3L2	cAMP responsive element binding protein 3 like 2 [Source:HGNC Symbol;Acc:HGNC:23720]	112	1.4225139617919922	0.60010636	Yes	
row_36	LCLAT1	lysocardiolipin acyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:26756]	113	1.4148083925247192	0.6108936	Yes	
