NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
S100A4	1	S100a4	
CCL5	1	Ccl5	
S100A6	1	S100a6	
CTLA4	1	Ctla4	
MAF	1	Maf	
LGALS1	1	Lgals1	
NT5E	1	Nt5e	
NKG7	1	Nkg7	
S100A10	1	S100a10	
LAG3	1	Lag3	
ICOS	1	Icos	
UBASH3B	1	Ubash3b	
S100A11	1	S100a11	
ITGAV	1	Itgav	
TMEM163	1	Tmem163	
CAPG	1	Capg	
CCR2	1	Ccr2	
SRGN	1	Srgn	
AHNAK	1	Ahnak	
LGALS7	1	Lgals7	
VIM	1	Vim	
PIM1	1	Pim1	
EEA1	1	Eea1	
LGALS3	1	Lgals3	
RABGAP1L	1	Rabgap1l	
HIP1	1	Hip1	
NIBAN1	1	Fam129a	
MXI1	1	Mxi1	
TNFRSF4	1	Tnfrsf4	
CCL4	1	Ccl4	
ALCAM	1	Alcam	
IL2RB	1	Il2rb	
CRIP1	1	Crip1	
PTMS	1	Ptms	
SNX9	1	Snx9	
PTPRJ	1	Ptprj	
IL10	1	Il10	
LAMC1	1	Lamc1	
ATXN1	1	Atxn1	
ARHGAP31	1	Arhgap31	
IRAK2	1	Irak2	
RBPJ	1	Rbpj	
CMTM7	1	Cmtm7	
IFNGR1	1	Ifngr1	
KDM2B	1	Kdm2b	
TNFRSF9	1	Tnfrsf9	
ODC1	1	Odc1	
GLRX	1	Glrx	
TNFRSF1B	1	Tnfrsf1b	
ATP2B4	1	Atp2b4	
PLAC8	1	Plac8	
RUNX2	1	Runx2	
DENND4A	1	Dennd4a	
NEB	1	Neb	
CREM	1	Crem	
GADD45B	1	Gadd45b	
CYSLTR2	1	Cysltr2	
CTSB	1	Ctsb	
SAMSN1	1	Samsn1	
IFI27L2	1	Ifi27l2a	
ACTG1	1	Actg1	
OSBPL3	1	Osbpl3	
LTB4R	1	Ltb4r1	
JUNB	1	Junb	
TIMP2	1	Timp2	
ANXA2	1	Anxa2	
FOXP3	1	Foxp3	
RGS1	1	Rgs1	
AOPEP	1	Aopep	
LITAF	1	Litaf	
PHLPP1	1	Phlpp1	
DUSP16	1	Dusp16	
RORA	1	Rora	
IL2RA	1	Il2ra	
ARL5A	1	Arl5a	
SDF4	1	Sdf4	
NDFIP1	1	Ndfip1	
ELL2	1	Ell2	
SLA	1	Sla	
RILPL2	1	Rilpl2	
S100A13	1	S100a13	
HIF1A	1	Hif1a	
C21orf91	1	D16Ertd472e	
IL1R1	1	Il1r1	
SMIM36	1	Gm45716	
NFKBIA	1	Nfkbia	
MXD1	1	Mxd1	
CCR5	1	Ccr5	
MMD	1	Mmd	
FXYD5	1	Fxyd5	
CDK6	1	Cdk6	
IL18R1	1	Il18r1	
SOCS2	1	Socs2	
PGLYRP1	1	Pglyrp1	
IZUMO1R	1	Izumo1r	
RAB8B	1	Rab8b	
NR4A2	1	Nr4a2	
RAPH1	1	Raph1	
TNFRSF18	1	Tnfrsf18	
STX11	1	Stx11	
IKZF2	1	Ikzf2	
PRR13	1	Prr13	
MDFIC	1	Mdfic	
PKP3	1	Pkp3	
CHST11	1	Chst11	
GM2A	1	Gm2a	
MYO1F	1	Myo1f	
TPM4	1	Tpm4	
FAM117B	1	Fam117b	
DGAT1	1	Dgat1	
TRPS1	1	Trps1	
FARP1	1	Farp1	
CREB3L2	1	Creb3l2	
LCLAT1	1	Lclat1	
DUSP4	1	Dusp4	
RAB43	1	Rab43	
LRBA	1	Lrba	
MALT1	1	Malt1	
GAPDH	1	Gapdh	
UHRF2	1	Uhrf2	
MAPKAPK3	1	Mapkapk3	
UBL3	1	Ubl3	
CD44	1	Cd44	
CD80	1	Cd80	
GZMB	1	Gzmb	
BHLHE40	1	Bhlhe40	
LMNB1	1	Lmnb1	
SERPINA3	2	Serpina3g:Serpina3f	
CST7	1	Cst7	
VPS54	1	Vps54	
FAM20A	1	Fam20a	
RBM3	1	Rbm3	
IFRD1	1	Ifrd1	
MIR4435-2HG	1	Morrbid	
CCL3	1	Ccl3	
CXCR3	1	Cxcr3	
