NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
SAFFORD_T_LYMPHOCYTE_ANERGY	89	34		
GSE20366_TREG_VS_NAIVE_CD4_TCELL_HOMEOSTATIC_CONVERSION_UP	200	75		
GSE20366_TREG_VS_NAIVE_CD4_TCELL_DEC205_CONVERSION_UP	199	72		
GSE7852_TREG_VS_TCONV_THYMUS_UP	200	100		
GSE7852_TREG_VS_TCONV_THYMUS_DN	199	64		
GSE7852_TREG_VS_TCONV_UP	200	94		
GSE22045_TREG_VS_TCONV_UP	189	34		
GSE22045_TREG_VS_TCONV_DN	192	33		
GSE13306_TREG_VS_TCONV_UP	198	33		
GSE13306_TREG_RA_VS_TCONV_RA_DN	200	19		
GSE13306_TREG_RA_VS_TCONV_RA_UP	200	38		
GSE14308_NAIVE_CD4_TCELL_VS_NATURAL_TREG_UP	199	53		
GSE14308_NAIVE_CD4_TCELL_VS_NATURAL_TREG_DN	200	49		
GSE14308_NAIVE_CD4_TCELL_VS_INDUCED_TREG_UP	199	49		
GSE14308_NAIVE_CD4_TCELL_VS_INDUCED_TREG_DN	200	50		
GSE14308_TH17_VS_NAIVE_CD4_TCELL_UP	200	39		
GSE14308_TH17_VS_NAIVE_CD4_TCELL_DN	199	48		
