NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GSE7852_TREG_VS_TCONV_THYMUS_UP	GSE7852_TREG_VS_TCONV_THYMUS_UP	Details ...	100	0.72919583	3.356219	0.0	0.0	0.0	443	tags=67%, list=16%, signal=77%	
GSE7852_TREG_VS_TCONV_UP	GSE7852_TREG_VS_TCONV_UP	Details ...	94	0.6156349	2.845753	0.0	0.0	0.0	628	tags=62%, list=23%, signal=77%	
GSE20366_TREG_VS_NAIVE_CD4_TCELL_HOMEOSTATIC_CONVERSION_UP	GSE20366_TREG_VS_NAIVE_CD4_TCELL_HOMEOSTATIC_CONVERSION_UP	Details ...	75	0.6145335	2.7029545	0.0	0.0	0.0	177	tags=37%, list=7%, signal=39%	
SAFFORD_T_LYMPHOCYTE_ANERGY	SAFFORD_T_LYMPHOCYTE_ANERGY	Details ...	34	0.55566627	2.054166	0.0014224751	0.0015423533	0.006	195	tags=38%, list=7%, signal=41%	
GSE20366_TREG_VS_NAIVE_CD4_TCELL_DEC205_CONVERSION_UP	GSE20366_TREG_VS_NAIVE_CD4_TCELL_DEC205_CONVERSION_UP	Details ...	72	0.46333405	2.0221653	0.0	0.0016338826	0.008	640	tags=53%, list=24%, signal=67%	
GSE22045_TREG_VS_TCONV_UP	GSE22045_TREG_VS_TCONV_UP	Details ...	34	0.42230117	1.5629706	0.035450518	0.056981925	0.27	209	tags=21%, list=8%, signal=22%	
GSE13306_TREG_VS_TCONV_UP	GSE13306_TREG_VS_TCONV_UP	Details ...	33	0.43287742	1.5618201	0.029411765	0.049240973	0.273	450	tags=39%, list=17%, signal=47%	
GSE14308_NAIVE_CD4_TCELL_VS_NATURAL_TREG_DN	GSE14308_NAIVE_CD4_TCELL_VS_NATURAL_TREG_DN	Details ...	49	0.36385378	1.4962702	0.04138852	0.06970667	0.405	605	tags=37%, list=22%, signal=46%	
GSE13306_TREG_RA_VS_TCONV_RA_UP	GSE13306_TREG_RA_VS_TCONV_RA_UP	Details ...	38	0.37733483	1.4369187	0.06509695	0.09068073	0.535	123	tags=16%, list=5%, signal=16%	
GSE14308_NAIVE_CD4_TCELL_VS_INDUCED_TREG_DN	GSE14308_NAIVE_CD4_TCELL_VS_INDUCED_TREG_DN	Details ...	50	0.34296006	1.3918251	0.08141112	0.10836687	0.659	912	tags=50%, list=34%, signal=74%	
GSE13306_TREG_RA_VS_TCONV_RA_DN	GSE13306_TREG_RA_VS_TCONV_RA_DN	Details ...	19	0.3796239	1.203941	0.24545455	0.26126748	0.953	480	tags=32%, list=18%, signal=38%	
GSE14308_TH17_VS_NAIVE_CD4_TCELL_DN	GSE14308_TH17_VS_NAIVE_CD4_TCELL_DN	Details ...	48	0.20215501	0.813593	0.7198917	0.7952715	1.0	300	tags=15%, list=11%, signal=16%	
GSE14308_TH17_VS_NAIVE_CD4_TCELL_UP	GSE14308_TH17_VS_NAIVE_CD4_TCELL_UP	Details ...	39	0.2063989	0.7814228	0.7569832	0.77399755	1.0	868	tags=36%, list=32%, signal=52%	
