NAME	TITLE	SCORE	
S100A4	S100 calcium binding protein A4 [Source:HGNC Symbol;Acc:HGNC:10494]	4.8236666	
CCL5	C-C motif chemokine ligand 5 [Source:HGNC Symbol;Acc:HGNC:10632]	4.0770173	
S100A6	S100 calcium binding protein A6 [Source:HGNC Symbol;Acc:HGNC:10496]	4.064965	
CTLA4	cytotoxic T-lymphocyte associated protein 4 [Source:HGNC Symbol;Acc:HGNC:2505]	3.8474798	
MAF	MAF bZIP transcription factor [Source:HGNC Symbol;Acc:HGNC:6776]	3.500568	
LGALS1	galectin 1 [Source:HGNC Symbol;Acc:HGNC:6561]	3.3525193	
NT5E	5'-nucleotidase ecto [Source:HGNC Symbol;Acc:HGNC:8021]	3.2049134	
NKG7	natural killer cell granule protein 7 [Source:HGNC Symbol;Acc:HGNC:7830]	3.0742328	
S100A10	S100 calcium binding protein A10 [Source:HGNC Symbol;Acc:HGNC:10487]	3.0017858	
LAG3	lymphocyte activating 3 [Source:HGNC Symbol;Acc:HGNC:6476]	2.972873	
ICOS	inducible T cell costimulator [Source:HGNC Symbol;Acc:HGNC:5351]	2.8784165	
UBASH3B	ubiquitin associated and SH3 domain containing B [Source:HGNC Symbol;Acc:HGNC:29884]	2.813801	
S100A11	S100 calcium binding protein A11 [Source:HGNC Symbol;Acc:HGNC:10488]	2.7850502	
ITGAV	integrin subunit alpha V [Source:HGNC Symbol;Acc:HGNC:6150]	2.7567472	
TMEM163	transmembrane protein 163 [Source:HGNC Symbol;Acc:HGNC:25380]	2.6953626	
CAPG	capping actin protein, gelsolin like [Source:HGNC Symbol;Acc:HGNC:1474]	2.6545417	
CCR2	C-C motif chemokine receptor 2 [Source:HGNC Symbol;Acc:HGNC:1603]	2.6410651	
SRGN	serglycin [Source:HGNC Symbol;Acc:HGNC:9361]	2.6155167	
AHNAK	AHNAK nucleoprotein [Source:HGNC Symbol;Acc:HGNC:347]	2.553131	
LGALS7	galectin 7 [Source:HGNC Symbol;Acc:HGNC:6568]	2.5489542	
VIM	vimentin [Source:HGNC Symbol;Acc:HGNC:12692]	2.5359585	
PIM1	Pim-1 proto-oncogene, serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:8986]	2.5206568	
EEA1	early endosome antigen 1 [Source:HGNC Symbol;Acc:HGNC:3185]	2.51299	
LGALS3	galectin 3 [Source:HGNC Symbol;Acc:HGNC:6563]	2.5082924	
RABGAP1L	RAB GTPase activating protein 1 like [Source:HGNC Symbol;Acc:HGNC:24663]	2.4625416	
HIP1	huntingtin interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:4913]	2.4461398	
NIBAN1	niban apoptosis regulator 1 [Source:HGNC Symbol;Acc:HGNC:16784]	2.4017951	
MXI1	MAX interactor 1, dimerization protein [Source:HGNC Symbol;Acc:HGNC:7534]	2.378494	
TNFRSF4	TNF receptor superfamily member 4 [Source:HGNC Symbol;Acc:HGNC:11918]	2.334975	
CCL4	C-C motif chemokine ligand 4 [Source:HGNC Symbol;Acc:HGNC:10630]	2.3278275	
ALCAM	activated leukocyte cell adhesion molecule [Source:HGNC Symbol;Acc:HGNC:400]	2.3104544	
