p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
0	1.45616188091223	0.775	0.331	0	0	Tbc1d4
0	1.36373098589653	0.878	0.522	0	0	Aff3
4.11526889242884e-294	1.12826943581318	0.716	0.335	1.32861456192065e-289	0	Lrig1
4.74976983611264e-291	1.10515301383363	0.577	0.183	1.53346319158897e-286	0	Ccr6
2.4528030352388e-285	0.9137822921254	0.565	0.189	7.91887459926846e-281	0	Cd200
3.02585990949661e-279	0.691892046454523	0.417	0.088	9.7689887178098e-275	0	Gm31718
1.91469779995323e-259	1.0285689317586	0.97	0.867	6.18160184714899e-255	0	Cblb
1.21226678508188e-257	1.02401664134305	0.847	0.51	3.91380331563684e-253	0	Nr4a3
6.77872588554505e-234	1.16590033101957	0.737	0.409	2.18851165214822e-229	0	Phactr2
7.54083776791412e-229	1.05691369493734	0.871	0.648	2.43455947337107e-224	0	Raf1
5.90350631287214e-227	1.32025600070967	0.639	0.295	1.90594701311077e-222	0	Adk
8.79385545660183e-225	0.978722671801236	0.859	0.612	2.8390962341639e-220	0	Jak2
3.91697990144399e-220	1.11821108128052	0.776	0.465	1.26459696118119e-215	0	Nr4a2
1.2666745968347e-213	0.81533098677725	0.945	0.77	4.08945893588082e-209	0	Hif1a
7.34094985769126e-209	0.911066074434067	0.892	0.652	2.37002566155562e-204	0	Stat4
8.01619864605041e-208	1.58178262127141	0.593	0.272	2.58802973287738e-203	0	Nrgn
4.8872343378931e-205	0.926676313541702	0.903	0.648	1.57784360598879e-200	0	Trps1
4.43272563917391e-202	1.07362197945991	0.789	0.52	1.4311054726073e-197	0	Gramd1b
6.98356544239476e-202	0.815349514160772	0.498	0.183	2.25464410307715e-197	0	Gm49180
2.1773663938004e-196	0.844766516213528	0.838	0.579	7.02962740238458e-192	0	Gm15283
4.63182716607629e-192	0.743078216504285	0.567	0.245	1.49538540056773e-187	0	Shld1
2.33327204083039e-191	0.977892008375073	0.491	0.186	7.53296878382092e-187	0	Ntrk3
1.46989724061658e-186	0.716072418503799	0.888	0.68	4.74556324133063e-182	0	Eml4
3.41269581908407e-186	0.825840349248895	0.503	0.207	1.10178884519129e-181	0	Nt5dc3
1.06971055061346e-183	0.831241918434046	0.632	0.335	3.45356051265557e-179	0	2310001H17Rik
1.07568861099024e-182	0.938396127325684	0.935	0.848	3.47286068058198e-178	0	Prkca
6.05244115188502e-181	0.882656655913851	0.41	0.133	1.95403062588608e-176	0	Plxdc2
1.88807809325125e-171	-0.954823200475249	0.321	0.608	6.09566012406167e-167	0	Arl4c
6.02724668287372e-171	0.753280971622567	0.558	0.246	1.94589659156578e-166	0	Tox2
2.68551177806838e-164	0.681822780741254	0.481	0.188	8.67017477549377e-160	0	Bcl6
3.56409551123464e-164	0.513916957237076	0.453	0.163	1.1506682358021e-159	0	Cd9
7.73095834861867e-164	0.759645587819528	0.91	0.769	2.49593990285154e-159	0	Dip2b
4.91535914806355e-161	0.872034465715695	0.703	0.39	1.58692370095232e-156	0	Tnfsf11
3.3632669492488e-160	0.923014169419266	0.791	0.545	1.08583073456498e-155	0	Gm20275
8.27724959012324e-160	-0.796092668552789	0.276	0.592	2.67231003017129e-155	0	Ppp3ca
1.47692539225498e-157	0.563786618505064	0.449	0.177	4.76825362889521e-153	0	Tspan3
3.23757070711613e-156	-1.04165886316686	0.07	0.354	1.04524970279244e-151	0	Neb
2.89224342797157e-153	0.595111099932325	0.967	0.854	9.33760790720623e-149	0	Ptpn22
3.5755604378582e-152	0.585247242723053	0.809	0.519	1.15436968736252e-147	0	Irf2bp2
6.02635539905601e-150	0.399756328788875	0.312	0.086	1.94560884058523e-145	0	Fgf2
4.54655935842725e-149	0.545170567809194	0.405	0.146	1.46785668886824e-144	0	Gypc
1.86050067033586e-148	0.717888024247826	0.238	0.048	6.00662641417932e-144	0	Cd83
2.19365292993343e-146	-0.949914575880083	0.144	0.431	7.08220848429009e-142	0	Snx9
2.07077926152643e-145	0.586898083434978	0.878	0.581	6.68551084583809e-141	0	St6galnac3
4.3815021273014e-145	0.85488292054679	0.765	0.542	1.41456796179926e-140	0	Sesn3
2.43217250032442e-143	-1.18316589083899	0.233	0.526	7.85226891729738e-139	0	Il2ra
1.06444906280772e-142	0.616674587206926	0.876	0.583	3.43657379927474e-138	0	Bhlhe40
4.16955039320761e-142	0.752110059599789	0.744	0.504	1.34613934444708e-137	0	Sh2d1a
8.64494966851915e-142	-1.00666381878622	0.571	0.703	2.79102200048141e-137	0	Cmtm7
9.73723678194163e-140	-0.637137468553503	0.901	0.965	3.14366689504986e-135	0	Dock10
3.31840175780615e-138	0.338397022557449	0.192	0.03	1.07134600750772e-133	0	Gm31814
3.75512534959249e-138	-0.847050338416311	0.155	0.43	1.21234221911594e-133	0	Ltb4r1
1.4875582743462e-133	0.489542786026464	0.143	0.012	4.80258188872669e-129	0	Grik4
7.08578790641141e-133	0.747110600675646	0.644	0.377	2.28764662558492e-128	0	Hipk2
2.84546961890189e-132	0.823345303657563	0.974	0.98	9.18659866462475e-128	0	Inpp4b
1.28038438116899e-131	0.634367578655336	0.963	0.85	4.13372097460408e-127	0	Emb
4.48622239819905e-131	0.603390579479786	0.467	0.198	1.44837690125856e-126	0	Btla
2.18537527765214e-130	0.825731196863751	0.842	0.655	7.05548408389992e-126	0	Adamts6
1.42349104030725e-129	0.420212868857838	0.764	0.409	4.59574082363197e-125	0	Tcf7
1.08555553861528e-127	0.556953166793775	0.508	0.22	3.50471605641943e-123	0	Parp8
1.16480531455776e-127	-0.696726786950908	0.78	0.872	3.76057395804972e-123	0	Npc2
4.88526028428845e-127	-1.23882893287604	0.07	0.315	1.57720628278253e-122	0	Ccr2
4.56364890770362e-126	0.837964063969781	0.833	0.627	1.47337404985211e-121	0	Rel
4.1788943561361e-124	-0.783649838882294	0.067	0.31	1.34915604287854e-119	0	Foxp3
2.37887871366969e-123	0.59861196374364	0.853	0.616	7.68020992708258e-119	0	Rgs2
2.5780304468938e-123	0.579879200388176	0.991	0.904	8.32317129779663e-119	0	Rabgap1l
6.33038517120799e-123	0.397038616000772	0.169	0.026	2.0437648525245e-118	0	Bdh2
6.77179764139424e-123	-0.892769760107646	0.245	0.486	2.18627486852413e-118	0	Glrx
1.83089454650677e-122	0.488536653402363	0.65	0.381	5.9110430433971e-118	0	Ccdc50
1.00439221406484e-121	0.625929930205506	0.881	0.737	3.24268026310835e-117	0	Map4k4
2.63850562607781e-120	0.578466546084263	0.8	0.592	8.51841541379219e-116	0	Rnf19a
1.45375893941912e-118	0.526906817205303	0.957	0.824	4.69346073591462e-114	0	Gdi2
2.01780960011694e-118	0.603518296167476	0.613	0.365	6.51449829397754e-114	0	Stat5a
1.31475931040965e-115	0.493140302163928	0.709	0.436	4.24470043365757e-111	0	Bcl2
1.74445157122337e-115	0.552205980603497	0.949	0.868	5.63196189769465e-111	0	Hivep2
5.3173211813222e-115	-0.806726422815573	0.363	0.582	1.71669714338987e-110	0	Gimap7
5.26947929957503e-114	0.724486283689637	0.711	0.484	1.7012513918678e-109	0	Tspan5
1.86501326633722e-111	0.505956287095981	0.582	0.332	6.02119533036972e-107	0	Fgfr1op
2.08749425361221e-111	0.50935696482726	0.944	0.834	6.73947519778701e-107	0	Anp32a
1.02690160230937e-110	-0.705361837540681	0.038	0.251	3.3153518230558e-106	0	Ccr5
2.17274753095536e-110	0.498161969150944	0.872	0.68	7.01471540368938e-106	0	Smap1
2.9108556911255e-109	0.532573901213449	0.629	0.391	9.39769759879868e-105	0	Lrmp
2.28134847209923e-107	0.51805145311351	0.952	0.857	7.36533354217238e-103	0	Clint1
9.64571221810641e-107	0.556225102464253	0.951	0.835	3.11411818961566e-102	0	Nrip1
1.11808378052767e-106	0.806363074672759	0.187	0.04	3.60973348543357e-102	0	Pcsk1
1.72533861362766e-106	0.250293455511691	0.122	0.012	5.57025571409689e-102	0	8030451A03Rik
2.00402836773853e-105	-0.865466885843161	0.039	0.245	6.47000558524386e-101	0	Sell
3.3242732971917e-104	-0.742018479480713	0.652	0.774	1.07324163399834e-99	0	Itpr2
8.23650376196951e-104	0.576017279325281	0.759	0.52	2.65915523955186e-99	0	Slc22a15
2.27165554900831e-103	-0.501352428684079	0.094	0.324	7.33403993997334e-99	0	Prdm1
8.23803903563954e-103	-0.570700618493382	0.84	0.909	2.65965090265623e-98	0	Gimap4
1.36980281805028e-102	0.553649679179551	0.692	0.456	4.42240839807533e-98	0	Dusp1
8.50489419648456e-101	0.48482688403414	0.864	0.689	2.74580509133504e-96	0	Kras
1.33253598612735e-100	0.395357112125318	0.516	0.273	4.30209243121214e-96	0	Zfpm1
3.0158506373417e-100	0.315414591569776	0.997	0.999	9.73667378265768e-96	0	Rps27
9.33865427149276e-100	0.725166050162322	0.946	0.882	3.01498453155144e-95	0	Tox
1.35468579416625e-99	0.652660219842281	0.496	0.266	4.37360308646574e-95	0	Nrp1
3.11713204404487e-98	0.571022588428277	0.86	0.647	1.00636608041988e-93	0	Rora
4.5118040757275e-98	-0.541078745313228	0.705	0.847	1.45663594584862e-93	0	Fli1
1.67093578907704e-97	0.430645808193095	0.969	0.87	5.39461619503522e-93	0	Rgs10
3.34206287596113e-97	0.470959434148435	0.924	0.778	1.07898499950405e-92	0	Gna13
1.67830929151215e-96	0.522937858363997	0.711	0.476	5.41842154764697e-92	0	Ybx3
2.04106056474167e-96	0.686212617229136	0.663	0.44	6.58956403326847e-92	0	Creb3l2
2.73537109896354e-96	0.434446095194238	0.276	0.098	8.83114559300379e-92	0	2610204G07Rik
2.21578071731448e-95	-0.846012368187694	0.727	0.84	7.1536480458498e-91	0	Gimap6
6.75151188455631e-95	-0.635689751777603	0.71	0.858	2.179725611929e-90	0	Grap2
8.74929715708323e-95	0.394289850672243	0.277	0.1	2.82471058716432e-90	0	Prr5l
5.07167398285399e-94	-0.334632788629428	0.992	0.997	1.63738994536441e-89	0	B2m
8.37771467074914e-94	0.86446217672446	0.29	0.106	2.70474518145136e-89	0	Tnfsf8
9.20014450436135e-94	0.561777577596214	0.732	0.53	2.97026665323306e-89	0	Reep3
1.67752626439847e-93	0.562610431010693	0.831	0.66	5.41589354461046e-89	0	Med14
3.98899747957927e-93	-0.776929283027555	0.641	0.769	1.28784783628217e-88	0	Ppm1h
7.80033483529091e-93	-0.667881711306738	0.17	0.385	2.51833810157367e-88	0	Gbp7
1.02857019592409e-92	0.281641811469762	0.998	0.998	3.32073887754093e-88	0	Rps28
3.43687473029677e-92	0.515434966037873	0.619	0.41	1.10959500667631e-87	0	Ptpn11
8.29390050425163e-92	0.560360414863112	0.151	0.03	2.67768577779764e-87	0	Tshz2
3.76826267233047e-91	-0.601393759801319	0.12	0.334	1.21658360376189e-86	0	Wdr78
1.69748105619976e-90	0.412139564153707	0.811	0.594	5.48031758994094e-86	0	Gtf2i
3.46363877812306e-90	-0.800740855627312	0.224	0.448	1.11823577951703e-85	0	Cxcr6
6.32718164477688e-90	0.431849618836082	0.976	0.929	2.04273059401622e-85	0	Celf2
2.43872282289598e-89	0.479448564440158	0.811	0.617	7.87341663371968e-85	0	Slc38a1
2.4924070962185e-88	0.293395379176097	0.261	0.095	8.04673631014143e-84	0	Slc9b2
1.49464830001676e-87	0.391867839141934	0.406	0.203	4.8254720366041e-83	0	Ptprs
1.85275797406354e-87	0.569051382573442	0.807	0.654	5.98162911926414e-83	0	Nfatc1
7.84790353293379e-87	0.503048408130446	0.749	0.533	2.53369565560767e-82	0	Lrrc8d
1.95890167146505e-86	-0.403062505912418	0.944	0.939	6.32431404632491e-82	0	Rap1b
3.60907168823166e-86	0.432345651142564	0.951	0.888	1.16518879454559e-81	0	Msi2
4.99636884612875e-86	0.5143166946971	0.6	0.378	1.61307768197267e-81	0	Chka
1.05635681880601e-85	0.27653056915659	0.182	0.048	3.41044798951522e-81	0	Egr2
2.38984777495806e-85	-0.451308861767396	0.743	0.828	7.71562354145211e-81	0	Selplg
8.66834223055051e-85	-0.468481631799267	0.61	0.733	2.79857428913323e-80	0	Anxa6
3.36545022528928e-84	-0.539979937876764	0.885	0.939	1.08653560523464e-79	0	Foxn3
9.20484872975515e-84	0.623788201844207	0.606	0.39	2.97178541240145e-79	0	Rgcc
1.79481962285046e-83	0.373781580189623	0.989	0.909	5.79457515237271e-79	0	Ndfip1
4.32041296776829e-83	0.617320516067845	0.211	0.066	1.39484532664399e-78	0	Itgb8
5.3337378403959e-83	-0.722589540504731	0.273	0.479	1.72199726177182e-78	0	Znrf3
1.36081674385283e-82	0.523404029029258	0.621	0.427	4.39339685752888e-78	0	Fam162a
1.97666587123103e-82	0.612428738201496	0.6	0.4	6.38166576526939e-78	0	Arhgap18
4.2212392247373e-82	0.346080876237193	0.338	0.155	1.36282708370644e-77	0	Ptger2
1.71327806549118e-81	-1.20349065221175	0.967	0.987	5.53131823443827e-77	0	AY036118
3.221184410018e-81	0.405324117258446	0.644	0.412	1.03995938677431e-76	0	Ttc3
3.60736292198899e-81	0.379322071339603	0.536	0.318	1.16463711936415e-76	0	Plekho1
1.60289434846895e-79	0.449489021606236	0.934	0.819	5.17494440403201e-75	0	Sik3
1.98378595857475e-79	-0.864477303812221	0.841	0.814	6.40465296725857e-75	0	AW112010
3.21289613034157e-79	0.480058525819252	0.852	0.665	1.03728351568077e-74	0	Eea1
3.73282840551622e-79	0.509927478329937	0.229	0.081	1.20514365072091e-74	0	Klf4
6.57563140239772e-79	0.575833312979473	0.602	0.384	2.1229425982641e-74	0	Fos
4.73182686459475e-78	0.511222897191899	0.692	0.475	1.52767030323441e-73	0	Arhgap26
8.38412454783088e-78	-0.679115069679425	0.167	0.357	2.7068146102672e-73	0	Ifi209
1.09812437687832e-77	0.474575884611188	0.155	0.038	3.54529455075167e-73	0	Gpm6b
4.28426936126207e-77	-1.07003467482716	0.039	0.199	1.38317636328346e-72	0	Il10
3.21233557381891e-76	-0.37542245105357	0.914	0.926	1.03710254000744e-71	0	Cd47
3.73682740099464e-76	0.416610307973578	0.408	0.221	1.20643472641112e-71	0	Pdcd1lg2
3.8670155399976e-76	0.522483924080624	0.306	0.14	1.24846596708823e-71	0	Dusp14
4.22039893534995e-76	0.402395137159436	0.807	0.624	1.36255579627773e-71	0	Chd1
2.40604993672443e-75	0.526138432602838	0.654	0.452	7.76793222071483e-71	0	Ctsw
3.24844770507068e-75	0.545203087509792	0.515	0.305	1.04876134158207e-70	0	Fosb
7.08932659242856e-75	0.461312819455429	0.934	0.855	2.28878909036556e-70	0	Ankrd12
7.77277730706762e-75	-0.777723154230795	0.306	0.473	2.50944115358678e-70	0	Arl5a
9.10697882328995e-75	-0.436099387482041	0.158	0.35	2.94018811309916e-70	0	Tmem154
1.17043079610722e-74	-0.530748421919022	0.105	0.287	3.77873582523214e-70	0	Morrbid
6.2069978305038e-74	0.343021147405179	0.524	0.309	2.00392924957815e-69	0	Tle3
2.03781176202316e-73	0.3260955759737	0.106	0.017	6.57907527369177e-69	0	Agbl1
4.35115662550349e-73	0.516209789011718	0.607	0.408	1.4047709165438e-68	0	Slc7a1
1.25872729466898e-72	0.530210655626743	0.826	0.693	4.0638010708388e-68	0	Itpr1
1.30140914210943e-72	0.620037451909822	0.761	0.593	4.20159941530031e-68	0	Trerf1
1.38881223234904e-72	0.391908065527489	0.527	0.313	4.48378029213889e-68	0	Mtss1
1.7835981558532e-72	0.297865782959577	0.221	0.081	5.75834664617207e-68	0	Lgalsl
2.48810501991773e-72	0.647122906017634	0.892	0.789	8.0328470568044e-68	0	Itga4
3.0246434618719e-72	0.439500023314265	0.462	0.263	9.76506141665344e-68	0	Nmrk1
3.23950569754643e-72	0.427881155476001	0.817	0.663	1.04587441445286e-67	0	Csnk1g3
4.51281023760952e-72	0.282470210250165	0.285	0.121	1.45696078521223e-67	0	Dpy19l3
4.59017998556516e-72	0.55964232610039	0.499	0.304	1.48193960833971e-67	0	E130308A19Rik
8.09909558338943e-72	0.274963863117614	0.216	0.076	2.61479300909728e-67	0	Siae
2.1760523801551e-71	0.440595322557758	0.476	0.285	7.02538510933074e-67	0	Pmaip1
6.97968018013673e-71	0.407162826746637	0.463	0.255	2.25338974615714e-66	0	Tgfbr3
9.94260073995311e-71	-0.491695489927351	0.285	0.467	3.20996864889386e-66	0	Glipr1
1.06926499890696e-70	0.515993212948369	0.484	0.299	3.45212204897111e-66	0	Dr1
1.40389039276071e-70	0.527138592919083	0.777	0.606	4.53246013302795e-66	0	Sik2
3.81863669547393e-70	0.626293671361435	0.71	0.538	1.23284685713376e-65	0	Stx11
5.00376027360595e-70	-0.486270031571468	0.556	0.693	1.61546400433368e-65	0	Rbms1
5.47393305272121e-70	0.482376408051111	0.777	0.611	1.76725928607104e-65	0	Gm8369
5.91340668556582e-70	0.367547943386155	0.67	0.482	1.90914334843493e-65	0	Hmox2
8.83595610274615e-70	0.446360012642178	0.376	0.195	2.85268842777159e-65	0	Pou2f2
9.36726829830344e-70	0.361027674363533	0.667	0.463	3.02422257010726e-65	0	B4galnt1
9.76816548762531e-70	0.281372759636424	0.342	0.159	3.15365222767983e-65	0	Tnfrsf25
1.63992632774513e-69	0.269035761840924	0.192	0.063	5.29450214912516e-65	0	Casp4
1.67188648066739e-69	0.435289150244549	0.49	0.297	5.39768550283466e-65	0	Gch1
1.67308823117257e-69	-0.588563808612184	0.788	0.785	5.40156535434066e-65	0	Ifngr1
1.98025572559149e-69	-0.432452353018341	0.742	0.794	6.39325561007212e-65	0	Sema4d
2.22728465337993e-69	-0.381601604923413	0.07	0.237	7.19078850343711e-65	0	Fgl2
3.01779663737377e-69	0.374425396964148	0.9	0.733	9.74295644376121e-65	0	Tnfaip3
4.16968721038385e-69	-0.649174155691678	0.288	0.464	1.34618351587243e-64	0	Hsd11b1
7.05490207672944e-69	0.429159004608489	0.726	0.558	2.2776751354721e-64	0	Dgkz
8.33337624310202e-69	0.481404164375496	0.286	0.126	2.69043052008549e-64	0	Acvr2a
8.54090164515102e-69	0.448135511747028	0.513	0.337	2.75743009613701e-64	0	Scyl2
8.65553915296315e-69	0.477089543386885	0.829	0.661	2.79444081553415e-64	0	Gm36975
1.52779946145959e-68	-0.817382374801207	0.577	0.693	4.93250056132228e-64	0	Pim1
1.86392081182893e-68	0.398109860115775	0.971	0.886	6.01766834098971e-64	0	Nfkb1
4.12591514975275e-68	0.420890627099764	0.808	0.649	1.33205170609767e-63	0	Stk39
4.78156274365216e-68	0.406539007612414	0.962	0.771	1.5437275317881e-63	0	Ubash3b
5.65111250443005e-68	0.425537461202673	0.625	0.418	1.82446167205524e-63	0	Mgat5
9.05913261810344e-68	0.465457367818935	0.911	0.823	2.9247409657547e-63	0	Jarid2
1.7829239167039e-67	0.315777020847804	0.333	0.162	5.75616986507855e-63	0	Ptpn3
4.40692215244357e-67	0.54466025851533	0.487	0.29	1.42277481691641e-62	0	Stab2
5.94115194562387e-67	0.278340400784637	0.185	0.062	1.91810090564467e-62	0	Sh3gl3
