	anergic_IL17	anergic_quiet	naiveT	Proliferative	Treg
Mbd2(+)	-0.270	-0.523	-0.738	-0.219	1.750
Foxp3(+)	-0.409	-0.497	-0.749	-0.082	1.737
Cux1(+)	-0.838	-0.467	-0.170	-0.254	1.728
Rara(+)	-0.802	-0.192	-0.171	-0.561	1.725
Ikzf2(+)	-0.280	-0.473	-0.106	-0.858	1.718
Irf1(+)	-0.541	-0.694	-0.533	0.054	1.714
Pparg(+)	0.057	-0.334	-1.116	-0.217	1.610
Mafg(+)	-0.335	-0.608	-0.954	0.313	1.584
Prdm1(+)	-0.060	-0.205	-1.412	0.313	1.365
Maf(+)	0.457	0.115	-1.545	-0.190	1.164
Batf(+)	-0.039	0.885	-1.298	-0.619	1.071
Nfatc1(+)	0.227	1.052	-1.534	-0.351	0.606
Prdm16(+)	1.621	-0.625	-0.622	-0.698	0.325
Crem(+)	1.186	0.546	-1.340	-0.656	0.264
Irf4(+)	1.368	0.664	-0.963	-0.841	-0.227
Egr2(+)	0.502	1.505	-0.790	-0.852	-0.365
Nr4a2(+)	0.594	1.403	-1.148	-0.443	-0.406
Egr3(+)	0.696	1.326	-0.360	-1.183	-0.478
Rxra(+)	0.879	1.261	-0.667	-0.966	-0.507
Rora(+)	1.359	0.735	-1.015	-0.510	-0.569
Maff(+)	1.173	0.879	-1.199	-0.271	-0.583
Nfatc2(+)	1.612	-0.094	0.087	-1.021	-0.584
Klf4(+)	0.371	1.588	-0.519	-0.850	-0.591
Bcl6(+)	0.109	1.577	-0.011	-1.059	-0.616
Mafb(+)	1.222	0.188	0.615	-1.161	-0.864
Bach1(+)	-0.273	1.396	0.533	-1.229	-0.428
